Type,Value,Source,Count
FilePath,C:\\Windows\\system32\\svchost.exe,cmdline,49
FilePath,C:\\Windows\\System32\\svchost.exe,cmdline,28
FilePath,C:\\Program,cmdline,12
FilePath,C:\\Users\\lucif\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\LocalState\\EBWebView,cmdline,7
FilePath,Microsoft\\EdgeWebView\\Application\\144.0.3719.115\\msedgewebview2.exe,cmdline,7
FilePath,C:\\Windows\\System32\\RuntimeBroker.exe,cmdline,6
FilePath,C:\\ProgramData\\Microsoft\\Windows,cmdline,2
FilePath,C:\\Windows\\system32\\DllHost.exe,cmdline,2
FilePath,Microsoft,cmdline,2
FilePath,Windows,cmdline,2
FilePath,system32\\csrss.exe,cmdline,2
FilePath,??\\C:\\Windows\\system32\\conhost.exe,cmdline,1
FilePath,C:\\Users\\lucif\\AppData\\Local\\Microsoft\\EdgeUpdate\\MicrosoftEdgeUpdate.exe,cmdline,1
FilePath,C:\\Users\\lucif\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\LocalState\\EBWebView\\Crashpad,cmdline,1
FilePath,C:\\Windows\\Explorer.EXE,cmdline,1
FilePath,C:\\Windows\\ImmersiveControlPanel\\SystemSettings.exe,cmdline,1
FilePath,C:\\Windows\\System32\\SecurityHealthSystray.exe,cmdline,1
FilePath,C:\\Windows\\System32\\SystemSettingsBroker.exe,cmdline,1
FilePath,C:\\Windows\\System32\\VBoxService.exe,cmdline,1
FilePath,C:\\Windows\\System32\\VBoxTray.exe,cmdline,1
FilePath,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,cmdline,1
FilePath,C:\\Windows\\System32\\oobe\\UserOOBEBroker.exe,cmdline,1
FilePath,C:\\Windows\\System32\\spoolsv.exe,cmdline,1
FilePath,C:\\Windows\\SystemApps\\Microsoft.Windows.Search_cw5n1h2txyewy\\SearchApp.exe,cmdline,1
FilePath,C:\\Windows\\SystemApps\\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\\StartMenuExperienceHost.exe,cmdline,1
FilePath,C:\\Windows\\SystemApps\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\TextInputHost.exe,cmdline,1
FilePath,C:\\Windows\\explorer.exe,cmdline,1
FilePath,C:\\Windows\\system32\\ApplicationFrameHost.exe,cmdline,1
FilePath,C:\\Windows\\system32\\SearchIndexer.exe,cmdline,1
FilePath,C:\\Windows\\system32\\SecurityHealthService.exe,cmdline,1
FilePath,C:\\Windows\\system32\\SgrmBroker.exe,cmdline,1
FilePath,C:\\Windows\\system32\\lsass.exe,cmdline,1
FilePath,C:\\Windows\\system32\\services.exe,cmdline,1
FilePath,ClickToRun\\OfficeClickToRun.exe,cmdline,1
FilePath,Common,cmdline,1
FilePath,Microsoft\\EdgeUpdate\\MicrosoftEdgeUpdate.exe,cmdline,1
FilePath,OneDrive.exe,cmdline,1
FilePath,Platform\\4.18.26010.5-0\\MpDefenderCoreService.exe,cmdline,1
FilePath,Platform\\4.18.26010.5-0\\MsMpEng.exe,cmdline,1
FilePath,SystemRoot\\System32\\smss.exe,cmdline,1
FilePath,WindowsApps\\Microsoft.MicrosoftOfficeHub_19.2603.36011.0_x64__8wekyb3d8bbwe\\M365Copilot.exe,cmdline,1
FilePath,WindowsApps\\Microsoft.YourPhone_1.25072.79.0_x64__8wekyb3d8bbwe\\PhoneExperienceHost.exe,cmdline,1
IPv4,0.0.0.0,netscan,95
IPv4,13.107.213.40,netscan,1
IPv4,13.89.179.9,netscan,1
IPv4,172.183.7.192,netscan,1
IPv4,172.183.7.194,netscan,1
IPv4,184.31.68.248,netscan,1
IPv4,204.79.197.203,netscan,1
IPv4,23.221.236.175,netscan,1
IPv4,23.52.99.32,netscan,1
IPv4,23.52.99.66,netscan,1
