TreeDepth,PID,Process,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,File output,Notes,Hexdump,Disasm,ImageFileName
0,5844,powershell.exe,0x1b140000,0x1b14ffff,VadS,PAGE_EXECUTE_READWRITE,15,1,Disabled,,"
00 00 00 00 00 00 00 00 a5 0c d2 bc 5d 03 00 01 ............]...
ee ff ee ff 02 00 00 00 20 01 14 1b 00 00 00 00 ........ .......
20 01 14 1b 00 00 00 00 00 00 14 1b 00 00 00 00  ...............
00 00 14 1b 00 00 00 00 0f 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 a5 0c d2 bc 5d 03 00 01 ee ff ee ff 02 00 00 00 20 01 14 1b 00 00 00 00 20 01 14 1b 00 00 00 00 00 00 14 1b 00 00 00 00 00 00 14 1b 00 00 00 00 0f 00 00 00 00 00 00 00,powershell.exe
0,5844,powershell.exe,0x1b4d0000,0x1b4dcfff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,,"
00 00 00 00 00 00 00 00 90 78 14 1b 00 00 00 00 .........x......
90 78 14 1b 00 00 00 00 00 00 14 1b 00 00 00 00 .x..............
a0 0e 4d 1b 00 00 00 00 00 10 4d 1b 00 00 00 00 ..M.......M.....
00 d0 4d 1b 00 00 00 00 03 00 00 00 00 00 00 00 ..M.............",00 00 00 00 00 00 00 00 90 78 14 1b 00 00 00 00 90 78 14 1b 00 00 00 00 00 00 14 1b 00 00 00 00 a0 0e 4d 1b 00 00 00 00 00 10 4d 1b 00 00 00 00 00 d0 4d 1b 00 00 00 00 03 00 00 00 00 00 00 00,powershell.exe
0,1316,powershell.exe,0x1af40000,0x1af4ffff,VadS,PAGE_EXECUTE_READWRITE,10,1,Disabled,,"
00 00 00 00 00 00 00 00 af 67 f8 b0 2a 33 00 01 .........g..*3..
ee ff ee ff 02 00 00 00 20 01 f4 1a 00 00 00 00 ........ .......
20 01 f4 1a 00 00 00 00 00 00 f4 1a 00 00 00 00  ...............
00 00 f4 1a 00 00 00 00 0f 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 af 67 f8 b0 2a 33 00 01 ee ff ee ff 02 00 00 00 20 01 f4 1a 00 00 00 00 20 01 f4 1a 00 00 00 00 00 00 f4 1a 00 00 00 00 00 00 f4 1a 00 00 00 00 0f 00 00 00 00 00 00 00,powershell.exe
0,1316,powershell.exe,0x2c40000,0x2c4ffff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,,"
00 00 00 00 00 00 00 00 08 3b 77 0f 06 65 00 01 .........;w..e..
ee ff ee ff 02 00 00 00 20 01 c4 02 00 00 00 00 ........ .......
20 01 c4 02 00 00 00 00 00 00 c4 02 00 00 00 00  ...............
00 00 c4 02 00 00 00 00 0f 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 08 3b 77 0f 06 65 00 01 ee ff ee ff 02 00 00 00 20 01 c4 02 00 00 00 00 20 01 c4 02 00 00 00 00 00 00 c4 02 00 00 00 00 00 00 c4 02 00 00 00 00 0f 00 00 00 00 00 00 00,powershell.exe
0,1316,powershell.exe,0x1b0b0000,0x1b0bcfff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,,"
00 00 00 00 00 00 00 00 90 78 f4 1a 00 00 00 00 .........x......
90 78 f4 1a 00 00 00 00 00 00 f4 1a 00 00 00 00 .x..............
e0 0d 0b 1b 00 00 00 00 00 10 0b 1b 00 00 00 00 ................
00 d0 0b 1b 00 00 00 00 02 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 90 78 f4 1a 00 00 00 00 90 78 f4 1a 00 00 00 00 00 00 f4 1a 00 00 00 00 e0 0d 0b 1b 00 00 00 00 00 10 0b 1b 00 00 00 00 00 d0 0b 1b 00 00 00 00 02 00 00 00 00 00 00 00,powershell.exe
0,1316,powershell.exe,0x7df422d00000,0x7df422d9ffff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,,"
d8 ff ff ff ff ff ff ff 08 00 00 00 00 00 00 00 ................
01 00 00 00 00 00 00 00 00 02 0e 03 38 00 00 00 ............8...
68 01 04 08 0c 00 00 00 b0 0b 70 50 f8 7f 00 00 h.........pP....
00 10 6b 50 f8 7f 00 00 08 53 82 50 f8 7f 00 00 ..kP.....S.P....",d8 ff ff ff ff ff ff ff 08 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 02 0e 03 38 00 00 00 68 01 04 08 0c 00 00 00 b0 0b 70 50 f8 7f 00 00 00 10 6b 50 f8 7f 00 00 08 53 82 50 f8 7f 00 00,powershell.exe
0,1316,powershell.exe,0x7df422cf0000,0x7df422cfffff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,,"
00 00 00 00 00 00 00 00 78 0d 00 00 00 00 00 00 ........x.......
0c 00 00 00 49 c7 c2 00 00 00 00 48 b8 10 ec f1 ....I......H....
51 f8 7f 00 00 ff e0 49 c7 c2 01 00 00 00 48 b8 Q......I......H.
10 ec f1 51 f8 7f 00 00 ff e0 49 c7 c2 02 00 00 ...Q......I.....",00 00 00 00 00 00 00 00 78 0d 00 00 00 00 00 00 0c 00 00 00 49 c7 c2 00 00 00 00 48 b8 10 ec f1 51 f8 7f 00 00 ff e0 49 c7 c2 01 00 00 00 48 b8 10 ec f1 51 f8 7f 00 00 ff e0 49 c7 c2 02 00 00,powershell.exe
0,7804,powershell.exe,0x1b3b0000,0x1b3bffff,VadS,PAGE_EXECUTE_READWRITE,8,1,Disabled,,"
00 00 00 00 00 00 00 00 f2 32 b7 5c df 8d 00 01 .........2.\\....
ee ff ee ff 02 00 00 00 20 01 3b 1b 00 00 00 00 ........ .;.....
20 01 3b 1b 00 00 00 00 00 00 3b 1b 00 00 00 00  .;.......;.....
00 00 3b 1b 00 00 00 00 0f 00 00 00 00 00 00 00 ..;.............",00 00 00 00 00 00 00 00 f2 32 b7 5c df 8d 00 01 ee ff ee ff 02 00 00 00 20 01 3b 1b 00 00 00 00 20 01 3b 1b 00 00 00 00 00 00 3b 1b 00 00 00 00 00 00 3b 1b 00 00 00 00 0f 00 00 00 00 00 00 00,powershell.exe
0,7804,powershell.exe,0x2ce0000,0x2ceffff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,,"
00 00 00 00 00 00 00 00 c1 aa df 38 58 cf 00 01 ...........8X...
ee ff ee ff 02 00 00 00 20 01 ce 02 00 00 00 00 ........ .......
20 01 ce 02 00 00 00 00 00 00 ce 02 00 00 00 00  ...............
00 00 ce 02 00 00 00 00 0f 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 c1 aa df 38 58 cf 00 01 ee ff ee ff 02 00 00 00 20 01 ce 02 00 00 00 00 20 01 ce 02 00 00 00 00 00 00 ce 02 00 00 00 00 00 00 ce 02 00 00 00 00 0f 00 00 00 00 00 00 00,powershell.exe
0,7804,powershell.exe,0x1b770000,0x1b77cfff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,,"
00 00 00 00 00 00 00 00 90 78 3b 1b 00 00 00 00 .........x;.....
90 78 3b 1b 00 00 00 00 00 00 3b 1b 00 00 00 00 .x;.......;.....
e0 0d 77 1b 00 00 00 00 00 10 77 1b 00 00 00 00 ..w.......w.....
00 d0 77 1b 00 00 00 00 01 00 00 00 00 00 00 00 ..w.............",00 00 00 00 00 00 00 00 90 78 3b 1b 00 00 00 00 90 78 3b 1b 00 00 00 00 00 00 3b 1b 00 00 00 00 e0 0d 77 1b 00 00 00 00 00 10 77 1b 00 00 00 00 00 d0 77 1b 00 00 00 00 01 00 00 00 00 00 00 00,powershell.exe
