TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output,CreateTime_dt,ExitTime_dt
0,92,4,Registry,0xdb84c0be4040,4,-,,False,2026-02-17 15:28:46 UTC,,Disabled,2026-02-17 15:28:46+00:00,
0,4,0,System,0xdb84c0a9b040,114,-,,False,2026-02-17 15:28:47 UTC,,Disabled,2026-02-17 15:28:47+00:00,
0,328,4,smss.exe,0xdb84c0da9040,2,-,,False,2026-02-17 15:28:47 UTC,,Disabled,2026-02-17 15:28:47+00:00,
0,432,420,csrss.exe,0xdb84c15f82c0,10,-,0.0,False,2026-02-17 15:28:49 UTC,,Disabled,2026-02-17 15:28:49+00:00,
0,812,588,fontdrvhost.ex,0xdb84c173b140,5,-,1.0,False,2026-02-17 15:28:50 UTC,,Disabled,2026-02-17 15:28:50+00:00,
0,780,660,svchost.exe,0xdb84c1718240,11,-,0.0,False,2026-02-17 15:28:50 UTC,,Disabled,2026-02-17 15:28:50+00:00,
0,680,540,lsass.exe,0xdb84c19b6080,9,-,0.0,False,2026-02-17 15:28:50 UTC,,Disabled,2026-02-17 15:28:50+00:00,
0,804,540,fontdrvhost.ex,0xdb84c1739140,5,-,0.0,False,2026-02-17 15:28:50 UTC,,Disabled,2026-02-17 15:28:50+00:00,
0,588,512,winlogon.exe,0xdb84c18d1080,4,-,1.0,False,2026-02-17 15:28:50 UTC,,Disabled,2026-02-17 15:28:50+00:00,
0,540,420,wininit.exe,0xdb84c1963080,1,-,0.0,False,2026-02-17 15:28:50 UTC,,Disabled,2026-02-17 15:28:50+00:00,
0,520,512,csrss.exe,0xdb84c195f140,13,-,1.0,False,2026-02-17 15:28:50 UTC,,Disabled,2026-02-17 15:28:50+00:00,
0,660,540,services.exe,0xdb84c1956080,5,-,0.0,False,2026-02-17 15:28:50 UTC,,Disabled,2026-02-17 15:28:50+00:00,
0,900,660,svchost.exe,0xdb84c17b32c0,11,-,0.0,False,2026-02-17 15:28:51 UTC,,Disabled,2026-02-17 15:28:51+00:00,
0,944,660,svchost.exe,0xdb84c17dc240,4,-,0.0,False,2026-02-17 15:28:51 UTC,,Disabled,2026-02-17 15:28:51+00:00,
0,372,588,dwm.exe,0xdb84c1a95080,16,-,1.0,False,2026-02-17 15:28:51 UTC,,Disabled,2026-02-17 15:28:51+00:00,
0,1424,660,VBoxService.ex,0xdb84c2e82240,12,-,0.0,False,2026-02-17 15:28:52 UTC,,Disabled,2026-02-17 15:28:52+00:00,
0,1512,660,svchost.exe,0xdb84c2e62080,4,-,0.0,False,2026-02-17 15:28:52 UTC,,Disabled,2026-02-17 15:28:52+00:00,
0,1504,660,svchost.exe,0xdb84c2e80080,3,-,0.0,False,2026-02-17 15:28:52 UTC,,Disabled,2026-02-17 15:28:52+00:00,
0,1484,660,svchost.exe,0xdb84c2e61300,1,-,0.0,False,2026-02-17 15:28:52 UTC,,Disabled,2026-02-17 15:28:52+00:00,
0,1476,660,svchost.exe,0xdb84c1be0080,3,-,0.0,False,2026-02-17 15:28:52 UTC,,Disabled,2026-02-17 15:28:52+00:00,
0,1432,660,svchost.exe,0xdb84c2e97300,6,-,0.0,False,2026-02-17 15:28:52 UTC,,Disabled,2026-02-17 15:28:52+00:00,
0,1320,660,svchost.exe,0xdb84c2e152c0,6,-,0.0,False,2026-02-17 15:28:52 UTC,,Disabled,2026-02-17 15:28:52+00:00,
0,1104,660,svchost.exe,0xdb84c1b64240,2,-,0.0,False,2026-02-17 15:28:52 UTC,,Disabled,2026-02-17 15:28:52+00:00,
0,1180,660,svchost.exe,0xdb84c1b7e240,6,-,0.0,False,2026-02-17 15:28:52 UTC,,Disabled,2026-02-17 15:28:52+00:00,
0,1136,660,svchost.exe,0xdb84c1b7a300,8,-,0.0,False,2026-02-17 15:28:52 UTC,,Disabled,2026-02-17 15:28:52+00:00,
0,1080,660,svchost.exe,0xdb84c1b4b240,7,-,0.0,False,2026-02-17 15:28:52 UTC,,Disabled,2026-02-17 15:28:52+00:00,
0,1028,660,svchost.exe,0xdb84c1ae3300,1,-,0.0,False,2026-02-17 15:28:52 UTC,,Disabled,2026-02-17 15:28:52+00:00,
0,756,660,svchost.exe,0xdb84c1aca280,1,-,0.0,False,2026-02-17 15:28:52 UTC,,Disabled,2026-02-17 15:28:52+00:00,
0,436,660,svchost.exe,0xdb84c1ab9300,0,-,0.0,False,2026-02-17 15:28:52 UTC,2026-02-17 16:32:55 UTC,Disabled,2026-02-17 15:28:52+00:00,2026-02-17 16:32:55+00:00
0,1216,660,svchost.exe,0xdb84c1bb82c0,2,-,0.0,False,2026-02-17 15:28:52 UTC,,Disabled,2026-02-17 15:28:52+00:00,
0,1676,4,MemCompression,0xdb84c2f77080,118,-,,False,2026-02-17 16:28:54 UTC,,Disabled,2026-02-17 16:28:54+00:00,
0,1704,660,svchost.exe,0xdb84c2f11080,2,-,0.0,False,2026-02-17 16:28:54 UTC,,Disabled,2026-02-17 16:28:54+00:00,
0,1728,660,svchost.exe,0xdb84c2f9d300,5,-,0.0,False,2026-02-17 16:28:54 UTC,,Disabled,2026-02-17 16:28:54+00:00,
0,1784,660,svchost.exe,0xdb84c2fd5280,2,-,0.0,False,2026-02-17 16:28:54 UTC,,Disabled,2026-02-17 16:28:54+00:00,
0,1800,660,svchost.exe,0xdb84c2fd72c0,5,-,0.0,False,2026-02-17 16:28:54 UTC,,Disabled,2026-02-17 16:28:54+00:00,
0,1644,660,svchost.exe,0xdb84c6272080,2,-,0.0,False,2026-02-17 16:28:55 UTC,,Disabled,2026-02-17 16:28:55+00:00,
0,2204,660,svchost.exe,0xdb84c63e4300,3,-,0.0,False,2026-02-17 16:28:55 UTC,,Disabled,2026-02-17 16:28:55+00:00,
0,2128,660,spoolsv.exe,0xdb84c634d200,7,-,0.0,False,2026-02-17 16:28:55 UTC,,Disabled,2026-02-17 16:28:55+00:00,
0,8,660,svchost.exe,0xdb84c6271080,5,-,0.0,False,2026-02-17 16:28:55 UTC,,Disabled,2026-02-17 16:28:55+00:00,
0,2168,660,svchost.exe,0xdb84c630a080,13,-,0.0,False,2026-02-17 16:28:55 UTC,,Disabled,2026-02-17 16:28:55+00:00,
0,2000,660,svchost.exe,0xdb84c6210080,12,-,0.0,False,2026-02-17 16:28:55 UTC,,Disabled,2026-02-17 16:28:55+00:00,
0,1988,660,svchost.exe,0xdb84c0a69080,3,-,0.0,False,2026-02-17 16:28:55 UTC,,Disabled,2026-02-17 16:28:55+00:00,
0,1896,660,svchost.exe,0xdb84c0a9a0c0,8,-,0.0,False,2026-02-17 16:28:55 UTC,,Disabled,2026-02-17 16:28:55+00:00,
0,2008,660,svchost.exe,0xdb84c62700c0,4,-,0.0,False,2026-02-17 16:28:55 UTC,,Disabled,2026-02-17 16:28:55+00:00,
0,1880,660,svchost.exe,0xdb84c62112c0,12,-,0.0,False,2026-02-17 16:28:55 UTC,,Disabled,2026-02-17 16:28:55+00:00,
0,2724,660,svchost.exe,0xdb84c655d2c0,1,-,0.0,False,2026-02-17 16:28:56 UTC,,Disabled,2026-02-17 16:28:56+00:00,
0,2700,660,svchost.exe,0xdb84c658a300,5,-,0.0,False,2026-02-17 16:28:56 UTC,,Disabled,2026-02-17 16:28:56+00:00,
0,2648,660,MpDefenderCore,0xdb84c6533080,10,-,0.0,False,2026-02-17 16:28:56 UTC,,Disabled,2026-02-17 16:28:56+00:00,
0,2616,660,svchost.exe,0xdb84c64f0240,16,-,0.0,False,2026-02-17 16:28:56 UTC,,Disabled,2026-02-17 16:28:56+00:00,
0,2548,660,svchost.exe,0xdb84c64862c0,12,-,0.0,False,2026-02-17 16:28:56 UTC,,Disabled,2026-02-17 16:28:56+00:00,
0,2516,660,svchost.exe,0xdb84c6440300,10,-,0.0,False,2026-02-17 16:28:56 UTC,,Disabled,2026-02-17 16:28:56+00:00,
0,2436,660,svchost.exe,0xdb84c64340c0,4,-,0.0,False,2026-02-17 16:28:56 UTC,,Disabled,2026-02-17 16:28:56+00:00,
