TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xa4827a562310,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,524,wininit.exe,2026-02-17 23:49:55.000000 UTC
0,0xa4827a562470,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,1340,svchost.exe,2026-02-18 03:45:23.000000 UTC
0,0xa4827a562e10,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,920,svchost.exe,2026-02-17 23:49:54.000000 UTC
0,0xa4827a5630d0,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,524,wininit.exe,2026-02-17 23:49:55.000000 UTC
0,0xa4827a5630d0,TCPv6,::,49665,::,0,LISTENING,524,wininit.exe,2026-02-17 23:49:55.000000 UTC
0,0xa4827a563230,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,920,svchost.exe,2026-02-17 23:49:54.000000 UTC
0,0xa4827a563230,TCPv6,::,135,::,0,LISTENING,920,svchost.exe,2026-02-17 23:49:54.000000 UTC
0,0xa4827a5634f0,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,688,lsass.exe,2026-02-17 23:49:54.000000 UTC
0,0xa4827a563650,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,688,lsass.exe,2026-02-17 23:49:54.000000 UTC
0,0xa4827a563650,TCPv6,::,49664,::,0,LISTENING,688,lsass.exe,2026-02-17 23:49:54.000000 UTC
0,0xa4827a5637b0,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1048,svchost.exe,2026-02-17 23:49:57.000000 UTC
0,0xa4827a563a70,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1048,svchost.exe,2026-02-17 23:49:57.000000 UTC
0,0xa4827a563a70,TCPv6,::,49666,::,0,LISTENING,1048,svchost.exe,2026-02-17 23:49:57.000000 UTC
0,0xa4827a5a2cd0,UDPv4,127.0.0.1,60022,*,0,,4304,svchost.exe,2026-03-11 13:28:00.000000 UTC
0,0xa4827a6fc380,UDPv4,0.0.0.0,123,*,0,,936,svchost.exe,2026-03-11 13:28:01.000000 UTC
0,0xa4827a6fc830,UDPv4,0.0.0.0,123,*,0,,936,svchost.exe,2026-03-11 13:28:01.000000 UTC
0,0xa4827a6fc830,UDPv6,::,123,*,0,,936,svchost.exe,2026-03-11 13:28:01.000000 UTC
0,0xa4827a6fdaf0,UDPv4,0.0.0.0,5353,*,0,,1572,svchost.exe,2026-03-11 13:28:01.000000 UTC
0,0xa4827a6fe770,UDPv4,0.0.0.0,0,*,0,,1572,svchost.exe,2026-03-11 13:28:01.000000 UTC
0,0xa4827a6fe770,UDPv6,::,0,*,0,,1572,svchost.exe,2026-03-11 13:28:01.000000 UTC
0,0xa4827a6ff0d0,UDPv4,0.0.0.0,5353,*,0,,1572,svchost.exe,2026-03-11 13:28:01.000000 UTC
0,0xa4827a6ff0d0,UDPv6,::,5353,*,0,,1572,svchost.exe,2026-03-11 13:28:01.000000 UTC
0,0xa4827a6ff3f0,UDPv4,0.0.0.0,5355,*,0,,1572,svchost.exe,2026-03-11 13:37:33.000000 UTC
0,0xa4827a6ff3f0,UDPv6,::,5355,*,0,,1572,svchost.exe,2026-03-11 13:37:33.000000 UTC
0,0xa4827a6ffa30,UDPv4,0.0.0.0,5355,*,0,,1572,svchost.exe,2026-03-11 13:37:33.000000 UTC
0,0xa4827a8836a0,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:37:24.000000 UTC
0,0xa4827a8844b0,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:37:32.000000 UTC
0,0xa4827a884640,UDPv4,0.0.0.0,0,*,0,,1660,svchost.exe,2026-03-11 13:32:55.000000 UTC
0,0xa4827a884640,UDPv6,::,0,*,0,,1660,svchost.exe,2026-03-11 13:32:55.000000 UTC
0,0xa4827a8855e0,UDPv4,10.0.2.5,68,*,0,,1160,svchost.exe,2026-03-11 13:37:33.000000 UTC
0,0xa4827a8f2380,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:35:02.000000 UTC
0,0xa4827a8f2510,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:35:52.000000 UTC
0,0xa4827a8f29c0,UDPv4,10.0.2.5,138,*,0,,4,System,2026-03-11 13:27:02.000000 UTC
0,0xa4827a8f2b50,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:36:13.000000 UTC
0,0xa4827a8f2e70,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:35:30.000000 UTC
0,0xa4827a8f3190,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:34:50.000000 UTC
0,0xa4827a8f34b0,UDPv4,10.0.2.5,137,*,0,,4,System,2026-03-11 13:27:02.000000 UTC
0,0xa4827a8f3640,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:32:45.000000 UTC
0,0xa4827a8f3af0,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:35:09.000000 UTC
0,0xa4827a8f3e10,UDPv4,0.0.0.0,61564,*,0,,1228,msedgewebview2,2026-03-11 13:32:29.000000 UTC
0,0xa4827a8f3e10,UDPv6,::,61564,*,0,,1228,msedgewebview2,2026-03-11 13:32:29.000000 UTC
0,0xa4827a8f42c0,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:36:06.000000 UTC
0,0xa4827a8f4900,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:35:45.000000 UTC
0,0xa4827a8f4db0,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:34:45.000000 UTC
0,0xa4827a8f50d0,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:36:00.000000 UTC
0,0xa4827a913830,UDPv4,0.0.0.0,55719,*,0,,1572,svchost.exe,2026-03-11 13:37:33.000000 UTC
0,0xa4827a913830,UDPv6,::,55719,*,0,,1572,svchost.exe,2026-03-11 13:37:33.000000 UTC
0,0xa4827a914af0,UDPv4,0.0.0.0,5355,*,0,,1572,svchost.exe,2026-03-11 13:37:33.000000 UTC
0,0xa4827a914af0,UDPv6,::,5355,*,0,,1572,svchost.exe,2026-03-11 13:37:33.000000 UTC
0,0xa4827a914c80,UDPv4,0.0.0.0,5355,*,0,,1572,svchost.exe,2026-03-11 13:37:33.000000 UTC
0,0xa4827a915130,UDPv4,0.0.0.0,5050,*,0,,4428,svchost.exe,2026-02-18 03:48:04.000000 UTC
0,0xa4827a915a90,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:37:39.000000 UTC
0,0xa4827a915c20,UDPv4,0.0.0.0,0,*,0,,7160,svchost.exe,2026-03-11 13:31:51.000000 UTC
0,0xa4827a915c20,UDPv6,::,0,*,0,,7160,svchost.exe,2026-03-11 13:31:51.000000 UTC
0,0xa4827a9163f0,UDPv4,0.0.0.0,0,*,0,,1572,svchost.exe,2026-02-18 03:45:56.000000 UTC
0,0xa4827a9163f0,UDPv6,::,0,*,0,,1572,svchost.exe,2026-02-18 03:45:56.000000 UTC
0,0xa4827a916a30,UDPv4,0.0.0.0,5353,*,0,,1572,svchost.exe,2026-02-18 03:45:56.000000 UTC
0,0xa4827a916a30,UDPv6,::,5353,*,0,,1572,svchost.exe,2026-02-18 03:45:56.000000 UTC
0,0xa4827a9c2050,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,656,services.exe,2026-02-18 03:46:01.000000 UTC
0,0xa4827a9c2050,TCPv6,::,49669,::,0,LISTENING,656,services.exe,2026-02-18 03:46:01.000000 UTC
0,0xa4827a9c2730,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,1340,svchost.exe,2026-02-18 03:45:23.000000 UTC
0,0xa4827a9c2730,TCPv6,::,49667,::,0,LISTENING,1340,svchost.exe,2026-02-18 03:45:23.000000 UTC
0,0xa4827a9c2890,TCPv4,0.0.0.0,5040,0.0.0.0,0,LISTENING,4428,svchost.exe,2026-02-18 03:48:04.000000 UTC
0,0xa4827a9c37b0,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2308,spoolsv.exe,2026-02-18 03:45:57.000000 UTC
0,0xa4827a9c37b0,TCPv6,::,49668,::,0,LISTENING,2308,spoolsv.exe,2026-02-18 03:45:57.000000 UTC
0,0xa4827a9c3bd0,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,656,services.exe,2026-02-18 03:46:00.000000 UTC
0,0xa4827a9c3d30,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2308,spoolsv.exe,2026-02-18 03:45:57.000000 UTC
0,0xa4827f3f4070,UDPv4,0.0.0.0,0,*,0,,2572,svchost.exe,2026-02-18 03:45:59.000000 UTC
0,0xa4827f3f4070,UDPv6,::,0,*,0,,2572,svchost.exe,2026-02-18 03:45:59.000000 UTC
0,0xa4827f3f4200,UDPv4,127.0.0.1,60903,*,0,,2992,svchost.exe,2026-02-18 03:46:01.000000 UTC
0,0xa4827f3f46b0,UDPv4,0.0.0.0,500,*,0,,2572,svchost.exe,2026-02-18 03:45:59.000000 UTC
0,0xa4827f3f46b0,UDPv6,::,500,*,0,,2572,svchost.exe,2026-02-18 03:45:59.000000 UTC
0,0xa4827f3f49d0,UDPv4,0.0.0.0,4500,*,0,,2572,svchost.exe,2026-02-18 03:45:59.000000 UTC
0,0xa4827f3f49d0,UDPv6,::,4500,*,0,,2572,svchost.exe,2026-02-18 03:45:59.000000 UTC
0,0xa4827f3f4cf0,UDPv4,0.0.0.0,500,*,0,,2572,svchost.exe,2026-02-18 03:45:59.000000 UTC
0,0xa4827f3f4e80,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:38:56.000000 UTC
0,0xa4827f3f5330,UDPv4,0.0.0.0,0,*,0,,936,svchost.exe,2026-02-18 03:48:06.000000 UTC
0,0xa4827f3f5330,UDPv6,::,0,*,0,,936,svchost.exe,2026-02-18 03:48:06.000000 UTC
0,0xa4827f3f5650,UDPv4,0.0.0.0,0,*,0,,2572,svchost.exe,2026-02-18 03:45:59.000000 UTC
0,0xa4827f3f57e0,UDPv4,0.0.0.0,0,*,0,,2580,svchost.exe,2026-02-18 03:45:59.000000 UTC
0,0xa4827f3f57e0,UDPv6,::,0,*,0,,2580,svchost.exe,2026-02-18 03:45:59.000000 UTC
0,0xa4827f3f5970,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:38:32.000000 UTC
0,0xa4827f3f5b00,UDPv6,fe80::8fe6:a59c:39fa:a8ba,1900,*,0,,4304,svchost.exe,2026-03-11 13:28:00.000000 UTC
0,0xa4827f3f5c90,UDPv6,::1,1900,*,0,,4304,svchost.exe,2026-03-11 13:28:00.000000 UTC
0,0xa4827f3f5e20,UDPv4,10.0.2.5,1900,*,0,,4304,svchost.exe,2026-03-11 13:28:00.000000 UTC
0,0xa4827f3f6140,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:38:21.000000 UTC
0,0xa4827f3f62d0,UDPv4,0.0.0.0,0,*,0,,2580,svchost.exe,2026-02-18 03:45:59.000000 UTC
0,0xa4827f3f65f0,UDPv4,127.0.0.1,1900,*,0,,4304,svchost.exe,2026-03-11 13:28:00.000000 UTC
0,0xa4827f3f6910,UDPv6,fe80::8fe6:a59c:39fa:a8ba,60019,*,0,,4304,svchost.exe,2026-03-11 13:28:00.000000 UTC
0,0xa4827f3f6aa0,UDPv4,0.0.0.0,0,*,0,,936,svchost.exe,2026-02-18 03:48:06.000000 UTC
0,0xa4827f3f6dc0,UDPv6,::1,60020,*,0,,4304,svchost.exe,2026-03-11 13:28:00.000000 UTC
0,0xa4827f3f70e0,UDPv4,0.0.0.0,4500,*,0,,2572,svchost.exe,2026-02-18 03:45:59.000000 UTC
0,0xa4827f3f7270,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:31:00.000000 UTC
0,0xa4827f3f78b0,UDPv4,0.0.0.0,0,*,0,,1204,VBoxService.ex,2026-03-11 13:31:08.000000 UTC
0,0xa4827f3f7a40,UDPv4,0.0.0.0,54901,*,0,,1228,msedgewebview2,2026-03-11 13:31:15.000000 UTC
0,0xa4827f3f7a40,UDPv6,::,54901,*,0,,1228,msedgewebview2,2026-03-11 13:31:15.000000 UTC
0,0xa4827f3f8210,UDPv4,0.0.0.0,51664,*,0,,1228,msedgewebview2,2026-03-11 13:31:12.000000 UTC
0,0xa4827f3f8210,UDPv6,::,51664,*,0,,1228,msedgewebview2,2026-03-11 13:31:12.000000 UTC
0,0xa4827f3f83a0,UDPv4,0.0.0.0,55812,*,0,,1228,msedgewebview2,2026-03-11 13:31:00.000000 UTC
0,0xa4827f3f83a0,UDPv6,::,55812,*,0,,1228,msedgewebview2,2026-03-11 13:31:00.000000 UTC
0,0xa4827f3f8530,UDPv4,0.0.0.0,62148,*,0,,1228,msedgewebview2,2026-03-11 13:30:36.000000 UTC
0,0xa4827f3f8530,UDPv6,::,62148,*,0,,1228,msedgewebview2,2026-03-11 13:30:36.000000 UTC
0,0xa4827f3f89e0,UDPv4,0.0.0.0,54157,*,0,,1228,msedgewebview2,2026-03-11 13:30:17.000000 UTC
0,0xa4827f3f9020,UDPv4,0.0.0.0,57429,*,0,,1572,svchost.exe,2026-03-11 13:31:12.000000 UTC
0,0xa4827f3f9020,UDPv6,::,57429,*,0,,1572,svchost.exe,2026-03-11 13:31:12.000000 UTC
0,0xa4827f3f91b0,UDPv4,0.0.0.0,49250,*,0,,1572,svchost.exe,2026-03-11 13:31:07.000000 UTC
0,0xa4827f3f91b0,UDPv6,::,49250,*,0,,1572,svchost.exe,2026-03-11 13:31:07.000000 UTC
0,0xa4827f3f9980,UDPv4,0.0.0.0,52743,*,0,,1572,svchost.exe,2026-03-11 13:28:35.000000 UTC
