TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output,DiffStatus
0,664,524,WerFault.exe,0xa4827a57e200,0,-,0.0,False,2026-02-17 23:49:52.000000 UTC,2026-02-18 03:46:28.000000 UTC,Disabled,NEW (Attack Only)
0,2628,656,OfficeClickToR,0xa4827f578080,19,-,0.0,False,2026-02-18 03:45:58.000000 UTC,,Disabled,NEW (Attack Only)
0,5008,656,SgrmBroker.exe,0xa4828014e080,6,-,0.0,False,2026-02-18 03:48:05.000000 UTC,,Disabled,NEW (Attack Only)
0,7888,6016,powershell.exe,0xa48282bca0c0,16,-,1.0,False,2026-03-11 11:48:11.000000 UTC,,Disabled,NEW (Attack Only)
0,6564,800,SystemSettings,0xa48282d32080,1,-,1.0,False,2026-03-11 11:50:00.000000 UTC,,Disabled,NEW (Attack Only)
0,6148,800,ApplicationFra,0xa48282d5c080,6,-,1.0,False,2026-03-11 11:50:18.000000 UTC,,Disabled,NEW (Attack Only)
0,9912,5336,CalculatorApp.,0xa48282f11080,15,-,1.0,False,2026-03-11 12:18:39.000000 UTC,,Disabled,NEW (Attack Only)
0,9608,7888,powershell.exe,0xa48282cc0080,0,-,1.0,False,2026-03-11 13:18:21.000000 UTC,2026-03-11 13:18:43.000000 UTC,Disabled,NEW (Attack Only)
0,9780,9608,notepad.exe,0xa48282d25080,2,-,1.0,False,2026-03-11 13:18:21.000000 UTC,,Disabled,NEW (Attack Only)
0,9864,7888,powershell.exe,0xa48282d3d080,0,-,1.0,False,2026-03-11 13:24:48.000000 UTC,2026-03-11 13:24:55.000000 UTC,Disabled,NEW (Attack Only)
0,7684,9864,notepad.exe,0xa48282559080,3,-,1.0,False,2026-03-11 13:24:49.000000 UTC,,Disabled,NEW (Attack Only)
0,1736,800,PhoneExperienc,0xa48289ad0340,18,-,1.0,False,2026-03-11 13:28:34.000000 UTC,,Disabled,NEW (Attack Only)
0,4200,7888,powershell.exe,0xa482887c7080,0,-,1.0,False,2026-03-11 13:29:21.000000 UTC,2026-03-11 13:31:25.000000 UTC,Disabled,NEW (Attack Only)
0,6276,9816,SOAPHound.exe,0xa4827ab57080,0,-,1.0,True,2026-03-11 13:32:02.000000 UTC,2026-03-11 13:32:02.000000 UTC,Disabled,NEW (Attack Only)
0,3288,9508,SOAPHound.exe,0xa4828230b080,0,-,1.0,True,2026-03-11 13:32:03.000000 UTC,2026-03-11 13:32:03.000000 UTC,Disabled,NEW (Attack Only)
0,9744,800,SystemSettings,0xa482848450c0,21,-,1.0,False,2026-03-11 13:32:54.000000 UTC,,Disabled,NEW (Attack Only)
