args,pid,process,__children
C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DevQueryBroker,1864,svchost.exe,[]
C:\Windows\System32\svchost.exe -k netsvcs -p -s Browser,2556,svchost.exe,[]
C:\Windows\system32\svchost.exe -k netsvcs -p -s IKEEXT,2572,svchost.exe,[]
C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p -s PolicyAgent,2580,svchost.exe,[]
"""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service",2628,OfficeClickToR,[]
"""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MpDefenderCoreService.exe""",2760,MpDefenderCore,[]
"""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MsMpEng.exe""",2856,MsMpEng.exe,[]
C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s SSDPSRV,4304,svchost.exe,[]
C:\Windows\system32\SgrmBroker.exe,5008,SgrmBroker.exe,[]
"""C:\Users\lucif\AppData\Local\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /c",5496,MicrosoftEdgeU,[]
"""C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",5712,SearchApp.exe,[]
"""C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe"" -ServerName:InputApp.AppXk0k6mrh4r2q0ct33a9wgbez0x7v9cz5y.mca",7072,TextInputHost.,[]
"""C:\Program Files (x86)\Microsoft OneDrive\OneDrive.exe"" /background",8232,OneDrive.exe,[]
"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ",7888,powershell.exe,[]
C:\Windows\system32\svchost.exe -k UdkSvcGroup -s UdkUserSvc,6084,svchost.exe,[]
C:\Windows\System32\SystemSettingsBroker.exe -Embedding,6564,SystemSettings,[]
C:\Windows\system32\ApplicationFrameHost.exe -Embedding,6148,ApplicationFra,[]
C:\Windows\system32\svchost.exe -k LocalService -p -s BthAvctpSvc,7020,svchost.exe,[]
C:\Windows\system32\svchost.exe -k WbioSvcGroup -s WbioSrvc,5180,svchost.exe,[]
C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s DsSvc,2516,svchost.exe,[]
Notepad,9780,notepad.exe,[]
C:\Windows\system32\svchost.exe -k LocalService -p -s WebClient,4848,svchost.exe,[]
Notepad,7684,notepad.exe,[]
C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv,3356,svchost.exe,[]
"""C:\Program Files\WindowsApps\Microsoft.YourPhone_1.25072.79.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe"" -ComServer:Background -Embedding",1736,PhoneExperienc,[]
"C:\Windows\explorer.exe /factory,{5BD95610-9434-43C2-886C-57852CC8A120} -Embedding",10616,explorer.exe,[]
C:\Windows\system32\svchost.exe -k SDRSVC,9556,svchost.exe,[]
"""C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_19.2603.36011.0_x64__8wekyb3d8bbwe\M365Copilot.exe"" autorestart reason=update",4840,M365Copilot.ex,[]
"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\144.0.3719.115\msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=M365Copilot.exe --webview-exe-version=19.2603.36011.0 --user-data-dir=""C:\Users\lucif\AppData\Local\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\LocalState\EBWebView"" --noerrdialogs --embedded-browser-webview-dpi-awareness=2 --disable-features=msEnhancedTrackingPreventionEnabled --enable-features=msSingleSignOnOSForPrimaryAccountIsShared --mojo-named-platform-channel-pipe=4840.8276.3302519392714735557",1128,msedgewebview2,[]
"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\144.0.3719.115\msedgewebview2.exe"" --type=crashpad-handler --user-data-dir=C:\Users\lucif\AppData\Local\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\LocalState\EBWebView /prefetch:4 --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\lucif\AppData\Local\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\LocalState\EBWebView\Crashpad --metrics-dir=C:\Users\lucif\AppData\Local\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\LocalState\EBWebView --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=144.0.7559.133 ""--annotation=exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\144.0.3719.115\msedgewebview2.exe"" --annotation=plat=Win64 ""--annotation=prod=Edge WebView2"" --annotation=ver=144.0.3719.115 --initial-client-data=0x198,0x19c,0x1a0,0x178,0x1a8,0x7fff5c062c98,0x7fff5c062ca4,0x7fff5c062cb0",6064,msedgewebview2,[]
