PID,Process,RiskScore,Indicators
7888,powershell.exe,130,Suspicious command line; RWX memory region; Command interpreter
1736,PhoneExperienc,60,RWX memory region
9864,powershell.exe,30,Command interpreter
9608,powershell.exe,30,Command interpreter
4200,powershell.exe,30,Command interpreter
5008,SgrmBroker.exe,0,
2628,OfficeClickToR,0,
664,WerFault.exe,0,
9912,CalculatorApp.,0,
6148,ApplicationFra,0,
6564,SystemSettings,0,
9780,notepad.exe,0,
7684,notepad.exe,0,
6276,SOAPHound.exe,0,
3288,SOAPHound.exe,0,
9744,SystemSettings,0,
