PID,Process,DLL,LoadPath,HijackType,Technique,TechniqueName,Tactic,RiskScore,DLL_Indicator,Description
6764,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_FILE_OUTPUT_DISABLED,T1562.001,Disable or Modify Tools — AMSI Bypass,Defense Evasion,90,amsi.dll in 'powershell.exe' from NON-SYSTEM32 path with File output='disabled' — replaced DLL,HIGHEST CONFIDENCE T1562.001+T1574.001: 'powershell.exe' (PID=6764) has amsi.dll loaded from 'C:\\Windows\\SYSTEM32\\amsi.dll' (NOT System32) with Volatility File output='disabled'. This is the clearest possible DLL hijacking evidence — a replaced amsi.dll was loaded instead of the legitimate copy.
5792,svchost.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_FILE_OUTPUT_DISABLED,T1562.001,Disable or Modify Tools — AMSI Bypass,Defense Evasion,90,amsi.dll in 'svchost.exe' from NON-SYSTEM32 path with File output='disabled' — replaced DLL,HIGHEST CONFIDENCE T1562.001+T1574.001: 'svchost.exe' (PID=5792) has amsi.dll loaded from 'C:\\Windows\\SYSTEM32\\amsi.dll' (NOT System32) with Volatility File output='disabled'. This is the clearest possible DLL hijacking evidence — a replaced amsi.dll was loaded instead of the legitimate copy.
5844,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_FILE_OUTPUT_DISABLED,T1562.001,Disable or Modify Tools — AMSI Bypass,Defense Evasion,90,amsi.dll in 'powershell.exe' from NON-SYSTEM32 path with File output='disabled' — replaced DLL,HIGHEST CONFIDENCE T1562.001+T1574.001: 'powershell.exe' (PID=5844) has amsi.dll loaded from 'C:\\Windows\\SYSTEM32\\amsi.dll' (NOT System32) with Volatility File output='disabled'. This is the clearest possible DLL hijacking evidence — a replaced amsi.dll was loaded instead of the legitimate copy.
1316,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_FILE_OUTPUT_DISABLED,T1562.001,Disable or Modify Tools — AMSI Bypass,Defense Evasion,90,amsi.dll in 'powershell.exe' from NON-SYSTEM32 path with File output='disabled' — replaced DLL,HIGHEST CONFIDENCE T1562.001+T1574.001: 'powershell.exe' (PID=1316) has amsi.dll loaded from 'C:\\Windows\\SYSTEM32\\amsi.dll' (NOT System32) with Volatility File output='disabled'. This is the clearest possible DLL hijacking evidence — a replaced amsi.dll was loaded instead of the legitimate copy.
5672,SecurityHealth,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_FILE_OUTPUT_DISABLED,T1562.001,Disable or Modify Tools — AMSI Bypass,Defense Evasion,90,amsi.dll in 'SecurityHealth' from NON-SYSTEM32 path with File output='disabled' — replaced DLL,HIGHEST CONFIDENCE T1562.001+T1574.001: 'SecurityHealth' (PID=5672) has amsi.dll loaded from 'C:\\Windows\\SYSTEM32\\amsi.dll' (NOT System32) with Volatility File output='disabled'. This is the clearest possible DLL hijacking evidence — a replaced amsi.dll was loaded instead of the legitimate copy.
2728,svchost.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_FILE_OUTPUT_DISABLED,T1562.001,Disable or Modify Tools — AMSI Bypass,Defense Evasion,90,amsi.dll in 'svchost.exe' from NON-SYSTEM32 path with File output='disabled' — replaced DLL,HIGHEST CONFIDENCE T1562.001+T1574.001: 'svchost.exe' (PID=2728) has amsi.dll loaded from 'C:\\Windows\\SYSTEM32\\amsi.dll' (NOT System32) with Volatility File output='disabled'. This is the clearest possible DLL hijacking evidence — a replaced amsi.dll was loaded instead of the legitimate copy.
7804,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_FILE_OUTPUT_DISABLED,T1562.001,Disable or Modify Tools — AMSI Bypass,Defense Evasion,90,amsi.dll in 'powershell.exe' from NON-SYSTEM32 path with File output='disabled' — replaced DLL,HIGHEST CONFIDENCE T1562.001+T1574.001: 'powershell.exe' (PID=7804) has amsi.dll loaded from 'C:\\Windows\\SYSTEM32\\amsi.dll' (NOT System32) with Volatility File output='disabled'. This is the clearest possible DLL hijacking evidence — a replaced amsi.dll was loaded instead of the legitimate copy.
5136,powershell.exe,amsi.dll,C:\\Temp\\pshijack\\amsi.dll,AMSI_FILE_OUTPUT_DISABLED,T1562.001,Disable or Modify Tools — AMSI Bypass,Defense Evasion,90,amsi.dll in 'powershell.exe' from NON-SYSTEM32 path with File output='disabled' — replaced DLL,HIGHEST CONFIDENCE T1562.001+T1574.001: 'powershell.exe' (PID=5136) has amsi.dll loaded from 'C:\\Temp\\pshijack\\amsi.dll' (NOT System32) with Volatility File output='disabled'. This is the clearest possible DLL hijacking evidence — a replaced amsi.dll was loaded instead of the legitimate copy.
6828,svchost.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_FILE_OUTPUT_DISABLED,T1562.001,Disable or Modify Tools — AMSI Bypass,Defense Evasion,90,amsi.dll in 'svchost.exe' from NON-SYSTEM32 path with File output='disabled' — replaced DLL,HIGHEST CONFIDENCE T1562.001+T1574.001: 'svchost.exe' (PID=6828) has amsi.dll loaded from 'C:\\Windows\\SYSTEM32\\amsi.dll' (NOT System32) with Volatility File output='disabled'. This is the clearest possible DLL hijacking evidence — a replaced amsi.dll was loaded instead of the legitimate copy.
7804,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_BYPASS_MEMORY_PATCH,T1562.001,Disable or Modify Tools — AMSI Memory Patch,Defense Evasion,80,amsi.dll in 'powershell.exe' (PID=7804) + 5 RWX memory region(s) in same process,HIGH CONFIDENCE T1562.001: 'powershell.exe' (PID=7804) loads amsi.dll AND has 5 PAGE_EXECUTE_READWRITE region(s). Standard pattern for PowerShell AMSI bypass — amsi.dll loaded then patched in memory to disable AMSI scanning. Combined with T1574.001 context: amsi.dll was staged/copied to C:\Temp\hijack\ before this memory dump.
5136,powershell.exe,amsi.dll,C:\\Temp\\pshijack\\amsi.dll,AMSI_BYPASS_MEMORY_PATCH,T1562.001,Disable or Modify Tools — AMSI Memory Patch,Defense Evasion,80,amsi.dll in 'powershell.exe' (PID=5136) + 5 RWX memory region(s) in same process,HIGH CONFIDENCE T1562.001: 'powershell.exe' (PID=5136) loads amsi.dll AND has 5 PAGE_EXECUTE_READWRITE region(s). Standard pattern for PowerShell AMSI bypass — amsi.dll loaded then patched in memory to disable AMSI scanning. Combined with T1574.001 context: amsi.dll was staged/copied to C:\Temp\hijack\ before this memory dump.
6764,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_BYPASS_MEMORY_PATCH,T1562.001,Disable or Modify Tools — AMSI Memory Patch,Defense Evasion,80,amsi.dll in 'powershell.exe' (PID=6764) + 5 RWX memory region(s) in same process,HIGH CONFIDENCE T1562.001: 'powershell.exe' (PID=6764) loads amsi.dll AND has 5 PAGE_EXECUTE_READWRITE region(s). Standard pattern for PowerShell AMSI bypass — amsi.dll loaded then patched in memory to disable AMSI scanning. Combined with T1574.001 context: amsi.dll was staged/copied to C:\Temp\hijack\ before this memory dump.
5844,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_BYPASS_MEMORY_PATCH,T1562.001,Disable or Modify Tools — AMSI Memory Patch,Defense Evasion,80,amsi.dll in 'powershell.exe' (PID=5844) + 2 RWX memory region(s) in same process,HIGH CONFIDENCE T1562.001: 'powershell.exe' (PID=5844) loads amsi.dll AND has 2 PAGE_EXECUTE_READWRITE region(s). Standard pattern for PowerShell AMSI bypass — amsi.dll loaded then patched in memory to disable AMSI scanning. Combined with T1574.001 context: amsi.dll was staged/copied to C:\Temp\hijack\ before this memory dump.
1316,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_BYPASS_MEMORY_PATCH,T1562.001,Disable or Modify Tools — AMSI Memory Patch,Defense Evasion,80,amsi.dll in 'powershell.exe' (PID=1316) + 5 RWX memory region(s) in same process,HIGH CONFIDENCE T1562.001: 'powershell.exe' (PID=1316) loads amsi.dll AND has 5 PAGE_EXECUTE_READWRITE region(s). Standard pattern for PowerShell AMSI bypass — amsi.dll loaded then patched in memory to disable AMSI scanning. Combined with T1574.001 context: amsi.dll was staged/copied to C:\Temp\hijack\ before this memory dump.
8060,mspaint.exe,version.dll,C:\\temp\\hijack\\VERSION.dll,PROTECTED_DLL_USER_DIR,T1574.001,DLL Search Order Hijacking,Defense Evasion,70,Protected DLL 'version.dll' NOT from System32 — loaded from user-writable/staging directory: C:\\temp\\hijack\\VERSION.dll,"T1574.001 DLL SEARCH ORDER HIJACKING: 'version.dll' loaded from 'C:\\temp\\hijack\\VERSION.dll' — expected C:\Windows\System32\version.dll. Process 'mspaint.exe' (PID=8060) loaded this DLL from a user-writable/staging directory first, bypassing the legitimate System32 copy. This is the standard DLL Search Order Hijacking technique."
5136,powershell.exe,amsi.dll,C:\\Temp\\pshijack\\amsi.dll,PROTECTED_DLL_USER_DIR,T1574.001,DLL Search Order Hijacking,Defense Evasion,70,Protected DLL 'amsi.dll' NOT from System32 — loaded from user-writable/staging directory: C:\\Temp\\pshijack\\amsi.dll,"T1574.001 DLL SEARCH ORDER HIJACKING: 'amsi.dll' loaded from 'C:\\Temp\\pshijack\\amsi.dll' — expected C:\Windows\System32\amsi.dll. Process 'powershell.exe' (PID=5136) loaded this DLL from a user-writable/staging directory first, bypassing the legitimate System32 copy. This is the standard DLL Search Order Hijacking technique."
8060,mspaint.exe,mspaint.exe,DLL from: C:\\temp\\hijack\\VERSION.dll,SYSTEM_EXE_FROM_WRONG_DIR,T1574.001,DLL Search Order Hijacking,Defense Evasion,65,System executable 'mspaint.exe' loaded DLL from staging dir: c:\\temp\\hijack\\,"T1574.001 PROCESS PATH ANOMALY: System executable 'mspaint.exe' (PID=8060) has DLLs loading from staging directory 'c:\\temp\\hijack\\'. Expected location: c:\windows\system32\mspaint.exe. When a system executable runs from a non-standard directory, Windows DLL Search Order causes it to load hijacked DLLs from that directory first — this is DLL Search Order Hijacking."
5520,OneDrive.exe,sspicli.dll,C:\\Windows\\SYSTEM32\\SSPICLI.DLL,PROTECTED_DLL_WRONG_PATH,T1574.001,DLL Search Order Hijacking,Defense Evasion,55,Protected DLL 'sspicli.dll' NOT from System32 — loaded from non-System32 location: C:\\Windows\\SYSTEM32\\SSPICLI.DLL,"T1574.001 DLL SEARCH ORDER HIJACKING: 'sspicli.dll' loaded from 'C:\\Windows\\SYSTEM32\\SSPICLI.DLL' — expected C:\Windows\System32\sspicli.dll. Process 'OneDrive.exe' (PID=5520) loaded this DLL from a non-System32 location first, bypassing the legitimate System32 copy. This is the standard DLL Search Order Hijacking technique."
5672,SecurityHealth,userenv.dll,C:\\Windows\\system32\\USERENV.dll,PROTECTED_DLL_WRONG_PATH,T1574.001,DLL Search Order Hijacking,Defense Evasion,55,Protected DLL 'userenv.dll' NOT from System32 — loaded from non-System32 location: C:\\Windows\\system32\\USERENV.dll,"T1574.001 DLL SEARCH ORDER HIJACKING: 'userenv.dll' loaded from 'C:\\Windows\\system32\\USERENV.dll' — expected C:\Windows\System32\userenv.dll. Process 'SecurityHealth' (PID=5672) loaded this DLL from a non-System32 location first, bypassing the legitimate System32 copy. This is the standard DLL Search Order Hijacking technique."
5300,VBoxTray.exe,bcryptprimitives.dll,C:\\Windows\\System32\\bcryptPrimitives.dll,PROTECTED_DLL_WRONG_PATH,T1574.001,DLL Search Order Hijacking,Defense Evasion,55,Protected DLL 'bcryptprimitives.dll' NOT from System32 — loaded from non-System32 location: C:\\Windows\\System32\\bcryptPrimitives.dll,"T1574.001 DLL SEARCH ORDER HIJACKING: 'bcryptprimitives.dll' loaded from 'C:\\Windows\\System32\\bcryptPrimitives.dll' — expected C:\Windows\System32\bcryptprimitives.dll. Process 'VBoxTray.exe' (PID=5300) loaded this DLL from a non-System32 location first, bypassing the legitimate System32 copy. This is the standard DLL Search Order Hijacking technique."
7620,dllhost.exe,userenv.dll,C:\\Windows\\System32\\USERENV.dll,PROTECTED_DLL_WRONG_PATH,T1574.001,DLL Search Order Hijacking,Defense Evasion,55,Protected DLL 'userenv.dll' NOT from System32 — loaded from non-System32 location: C:\\Windows\\System32\\USERENV.dll,"T1574.001 DLL SEARCH ORDER HIJACKING: 'userenv.dll' loaded from 'C:\\Windows\\System32\\USERENV.dll' — expected C:\Windows\System32\userenv.dll. Process 'dllhost.exe' (PID=7620) loaded this DLL from a non-System32 location first, bypassing the legitimate System32 copy. This is the standard DLL Search Order Hijacking technique."
6188,SearchApp.exe,profapi.dll,C:\\Windows\\SYSTEM32\\profapi.dll,PROTECTED_DLL_WRONG_PATH,T1574.001,DLL Search Order Hijacking,Defense Evasion,55,Protected DLL 'profapi.dll' NOT from System32 — loaded from non-System32 location: C:\\Windows\\SYSTEM32\\profapi.dll,"T1574.001 DLL SEARCH ORDER HIJACKING: 'profapi.dll' loaded from 'C:\\Windows\\SYSTEM32\\profapi.dll' — expected C:\Windows\System32\profapi.dll. Process 'SearchApp.exe' (PID=6188) loaded this DLL from a non-System32 location first, bypassing the legitimate System32 copy. This is the standard DLL Search Order Hijacking technique."
3680,TextInputHost.,bcryptprimitives.dll,C:\\Windows\\System32\\bcryptPrimitives.dll,PROTECTED_DLL_WRONG_PATH,T1574.001,DLL Search Order Hijacking,Defense Evasion,55,Protected DLL 'bcryptprimitives.dll' NOT from System32 — loaded from non-System32 location: C:\\Windows\\System32\\bcryptPrimitives.dll,"T1574.001 DLL SEARCH ORDER HIJACKING: 'bcryptprimitives.dll' loaded from 'C:\\Windows\\System32\\bcryptPrimitives.dll' — expected C:\Windows\System32\bcryptprimitives.dll. Process 'TextInputHost.' (PID=3680) loaded this DLL from a non-System32 location first, bypassing the legitimate System32 copy. This is the standard DLL Search Order Hijacking technique."
5172,dllhost.exe,bcryptprimitives.dll,C:\\Windows\\System32\\bcryptPrimitives.dll,PROTECTED_DLL_WRONG_PATH,T1574.001,DLL Search Order Hijacking,Defense Evasion,55,Protected DLL 'bcryptprimitives.dll' NOT from System32 — loaded from non-System32 location: C:\\Windows\\System32\\bcryptPrimitives.dll,"T1574.001 DLL SEARCH ORDER HIJACKING: 'bcryptprimitives.dll' loaded from 'C:\\Windows\\System32\\bcryptPrimitives.dll' — expected C:\Windows\System32\bcryptprimitives.dll. Process 'dllhost.exe' (PID=5172) loaded this DLL from a non-System32 location first, bypassing the legitimate System32 copy. This is the standard DLL Search Order Hijacking technique."
392,SecurityHealth,bcrypt.dll,C:\\Windows\\System32\\bcrypt.dll,PROTECTED_DLL_WRONG_PATH,T1574.001,DLL Search Order Hijacking,Defense Evasion,55,Protected DLL 'bcrypt.dll' NOT from System32 — loaded from non-System32 location: C:\\Windows\\System32\\bcrypt.dll,"T1574.001 DLL SEARCH ORDER HIJACKING: 'bcrypt.dll' loaded from 'C:\\Windows\\System32\\bcrypt.dll' — expected C:\Windows\System32\bcrypt.dll. Process 'SecurityHealth' (PID=392) loaded this DLL from a non-System32 location first, bypassing the legitimate System32 copy. This is the standard DLL Search Order Hijacking technique."
3552,svchost.exe,bcrypt.dll,C:\\Windows\\System32\\bcrypt.dll,PROTECTED_DLL_WRONG_PATH,T1574.001,DLL Search Order Hijacking,Defense Evasion,55,Protected DLL 'bcrypt.dll' NOT from System32 — loaded from non-System32 location: C:\\Windows\\System32\\bcrypt.dll,"T1574.001 DLL SEARCH ORDER HIJACKING: 'bcrypt.dll' loaded from 'C:\\Windows\\System32\\bcrypt.dll' — expected C:\Windows\System32\bcrypt.dll. Process 'svchost.exe' (PID=3552) loaded this DLL from a non-System32 location first, bypassing the legitimate System32 copy. This is the standard DLL Search Order Hijacking technique."
6408,UserOOBEBroker,bcrypt.dll,C:\\Windows\\System32\\bcrypt.dll,PROTECTED_DLL_WRONG_PATH,T1574.001,DLL Search Order Hijacking,Defense Evasion,55,Protected DLL 'bcrypt.dll' NOT from System32 — loaded from non-System32 location: C:\\Windows\\System32\\bcrypt.dll,"T1574.001 DLL SEARCH ORDER HIJACKING: 'bcrypt.dll' loaded from 'C:\\Windows\\System32\\bcrypt.dll' — expected C:\Windows\System32\bcrypt.dll. Process 'UserOOBEBroker' (PID=6408) loaded this DLL from a non-System32 location first, bypassing the legitimate System32 copy. This is the standard DLL Search Order Hijacking technique."
4260,RuntimeBroker.,bcrypt.dll,C:\\Windows\\System32\\bcrypt.dll,PROTECTED_DLL_WRONG_PATH,T1574.001,DLL Search Order Hijacking,Defense Evasion,55,Protected DLL 'bcrypt.dll' NOT from System32 — loaded from non-System32 location: C:\\Windows\\System32\\bcrypt.dll,"T1574.001 DLL SEARCH ORDER HIJACKING: 'bcrypt.dll' loaded from 'C:\\Windows\\System32\\bcrypt.dll' — expected C:\Windows\System32\bcrypt.dll. Process 'RuntimeBroker.' (PID=4260) loaded this DLL from a non-System32 location first, bypassing the legitimate System32 copy. This is the standard DLL Search Order Hijacking technique."
6892,SystemSettings,userenv.dll,C:\\Windows\\System32\\USERENV.dll,PROTECTED_DLL_WRONG_PATH,T1574.001,DLL Search Order Hijacking,Defense Evasion,55,Protected DLL 'userenv.dll' NOT from System32 — loaded from non-System32 location: C:\\Windows\\System32\\USERENV.dll,"T1574.001 DLL SEARCH ORDER HIJACKING: 'userenv.dll' loaded from 'C:\\Windows\\System32\\USERENV.dll' — expected C:\Windows\System32\userenv.dll. Process 'SystemSettings' (PID=6892) loaded this DLL from a non-System32 location first, bypassing the legitimate System32 copy. This is the standard DLL Search Order Hijacking technique."
552,SecHealthUI.ex,bcryptprimitives.dll,C:\\Windows\\System32\\bcryptPrimitives.dll,PROTECTED_DLL_WRONG_PATH,T1574.001,DLL Search Order Hijacking,Defense Evasion,55,Protected DLL 'bcryptprimitives.dll' NOT from System32 — loaded from non-System32 location: C:\\Windows\\System32\\bcryptPrimitives.dll,"T1574.001 DLL SEARCH ORDER HIJACKING: 'bcryptprimitives.dll' loaded from 'C:\\Windows\\System32\\bcryptPrimitives.dll' — expected C:\Windows\System32\bcryptprimitives.dll. Process 'SecHealthUI.ex' (PID=552) loaded this DLL from a non-System32 location first, bypassing the legitimate System32 copy. This is the standard DLL Search Order Hijacking technique."
4168,ApplicationFra,bcryptprimitives.dll,C:\\Windows\\System32\\bcryptPrimitives.dll,PROTECTED_DLL_WRONG_PATH,T1574.001,DLL Search Order Hijacking,Defense Evasion,55,Protected DLL 'bcryptprimitives.dll' NOT from System32 — loaded from non-System32 location: C:\\Windows\\System32\\bcryptPrimitives.dll,"T1574.001 DLL SEARCH ORDER HIJACKING: 'bcryptprimitives.dll' loaded from 'C:\\Windows\\System32\\bcryptPrimitives.dll' — expected C:\Windows\System32\bcryptprimitives.dll. Process 'ApplicationFra' (PID=4168) loaded this DLL from a non-System32 location first, bypassing the legitimate System32 copy. This is the standard DLL Search Order Hijacking technique."
