PID,Process,RiskScore,RiskLevel,Indicators
5844,powershell.exe,100,CRITICAL,Suspicious cmdline pattern; RWX executable memory region (malfind)
5136,powershell.exe,100,CRITICAL,Suspicious cmdline pattern; RWX executable memory region (malfind)
1316,powershell.exe,100,CRITICAL,Suspicious cmdline pattern; RWX executable memory region (malfind)
7804,powershell.exe,100,CRITICAL,Suspicious cmdline pattern; RWX executable memory region (malfind)
6764,powershell.exe,100,CRITICAL,Suspicious cmdline pattern; RWX executable memory region (malfind)
8060,mspaint.exe,40,MEDIUM,Suspicious cmdline pattern
6516,SgrmBroker.exe,0,LOW,None
6436,SystemSettings,0,LOW,None
4168,ApplicationFra,0,LOW,None
552,SecHealthUI.ex,0,LOW,None
6892,SystemSettings,0,LOW,None
2680,OfficeClickToR,0,LOW,None
8032,CalculatorApp.,0,LOW,None
9048,CalculatorApp.,0,LOW,None
9124,WmiPrvSE.exe,0,LOW,None
