Type,Value,Source,Count
FilePath,C:\\Windows\\system32\\svchost.exe,cmdline,46
FilePath,C:\\Windows\\System32\\svchost.exe,cmdline,29
FilePath,C:\\Program,cmdline,13
FilePath,??\\C:\\Windows\\system32\\conhost.exe,cmdline,7
FilePath,C:\\Users\\lucif\\AppData\\Local\\Packages\\Microsoft.Windows.Search_cw5n1h2txyewy\\LocalState\\EBWebView,cmdline,7
FilePath,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,cmdline,7
FilePath,Microsoft\\EdgeWebView\\Application\\146.0.3856.109\\msedgewebview2.exe,cmdline,7
FilePath,C:\\Windows\\System32\\RuntimeBroker.exe,cmdline,5
FilePath,C:\\ProgramData\\Microsoft\\Windows,cmdline,2
FilePath,C:\\Temp\\mff_multi\\case05_rwx_amsi.ps1,cmdline,2
FilePath,C:\\Windows\\SystemApps\\Microsoft.Windows.Search_cw5n1h2txyewy\\SearchApp.exe,cmdline,2
FilePath,C:\\Windows\\system32\\DllHost.exe,cmdline,2
FilePath,Microsoft,cmdline,2
FilePath,Windows,cmdline,2
FilePath,system32\\csrss.exe,cmdline,2
FilePath,C:\\Temp\\multiattack\\powershell.exe,cmdline,1
FilePath,C:\\Users\\lucif\\AppData\\Local\\Packages\\Microsoft.Windows.Search_cw5n1h2txyewy\\LocalState\\EBWebView\\Crashpad,cmdline,1
FilePath,C:\\Windows\\Explorer.EXE,cmdline,1
FilePath,C:\\Windows\\ImmersiveControlPanel\\SystemSettings.exe,cmdline,1
FilePath,C:\\Windows\\System32\\SecurityHealthSystray.exe,cmdline,1
FilePath,C:\\Windows\\System32\\VBoxService.exe,cmdline,1
FilePath,C:\\Windows\\System32\\VBoxTray.exe,cmdline,1
FilePath,C:\\Windows\\System32\\mousocoreworker.exe,cmdline,1
FilePath,C:\\Windows\\System32\\oobe\\UserOOBEBroker.exe,cmdline,1
FilePath,C:\\Windows\\System32\\spoolsv.exe,cmdline,1
FilePath,C:\\Windows\\SystemApps\\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\\StartMenuExperienceHost.exe,cmdline,1
FilePath,C:\\Windows\\SystemApps\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\TextInputHost.exe,cmdline,1
FilePath,C:\\Windows\\SystemApps\\ShellExperienceHost_cw5n1h2txyewy\\ShellExperienceHost.exe,cmdline,1
FilePath,C:\\Windows\\system32\\ApplicationFrameHost.exe,cmdline,1
FilePath,C:\\Windows\\system32\\SearchIndexer.exe,cmdline,1
FilePath,C:\\Windows\\system32\\SecurityHealthService.exe,cmdline,1
FilePath,C:\\Windows\\system32\\SgrmBroker.exe,cmdline,1
FilePath,C:\\Windows\\system32\\lsass.exe,cmdline,1
FilePath,C:\\Windows\\system32\\services.exe,cmdline,1
FilePath,C:\\Windows\\system32\\wbem\\wmiprvse.exe,cmdline,1
FilePath,ClickToRun\\OfficeClickToRun.exe,cmdline,1
FilePath,Common,cmdline,1
FilePath,Microsoft\\EdgeUpdate\\MicrosoftEdgeUpdate.exe,cmdline,1
FilePath,OneDrive.exe,cmdline,1
FilePath,Platform\\4.18.26010.5-0\\MpDefenderCoreService.exe,cmdline,1
FilePath,Platform\\4.18.26010.5-0\\MsMpEng.exe,cmdline,1
FilePath,SystemRoot\\System32\\smss.exe,cmdline,1
FilePath,WindowsApps\\Microsoft.MicrosoftOfficeHub_19.2603.36011.0_x64__8wekyb3d8bbwe\\m365copilot_autostarter.exe,cmdline,1
FilePath,WindowsApps\\Microsoft.WindowsCalculator_11.2508.4.0_x64__8wekyb3d8bbwe\\CalculatorApp.exe,cmdline,1
FilePath,WindowsApps\\Microsoft.YourPhone_1.25072.79.0_x64__8wekyb3d8bbwe\\PhoneExperienceHost.exe,cmdline,1
IPv4,0.0.0.0,netscan,94
IPv4,150.171.22.17,netscan,3
IPv4,104.208.203.88,netscan,2
IPv4,150.171.27.11,netscan,2
IPv4,2.18.67.92,netscan,2
IPv4,23.11.33.159,netscan,2
IPv4,150.171.28.12,netscan,1
IPv4,204.79.197.222,netscan,1
IPv4,208.89.75.151,netscan,1
IPv4,208.89.75.161,netscan,1
IPv4,23.209.57.176,netscan,1
IPv4,23.48.203.103,netscan,1
IPv4,23.48.203.106,netscan,1
IPv4,52.96.181.98,netscan,1
