PID,Process,DLL,LoadPath,HijackType,Technique,TechniqueName,Tactic,RiskScore,DLL_Indicator,Description
3092,powershell.exe,amsi.dll,C:\\Temp\\mff_multi\\amsi.dll,AMSI_FILE_OUTPUT_DISABLED,T1562.001,Disable or Modify Tools - AMSI Bypass,Defense Evasion,90,amsi.dll in 'powershell.exe' from NON-SYSTEM32: C:\\Temp\\mff_multi\\amsi.dll,HIGHEST CONFIDENCE T1562.001+T1574.001: 'powershell.exe' (PID=3092) has amsi.dll from 'C:\\Temp\\mff_multi\\amsi.dll' (NOT System32). File output='disabled'. Replaced DLL confirmed.
1676,powershell.exe,amsi.dll,C:\\Temp\\mff_multi\\amsi.dll,AMSI_FILE_OUTPUT_DISABLED,T1562.001,Disable or Modify Tools - AMSI Bypass,Defense Evasion,90,amsi.dll in 'powershell.exe' from NON-SYSTEM32: C:\\Temp\\mff_multi\\amsi.dll,HIGHEST CONFIDENCE T1562.001+T1574.001: 'powershell.exe' (PID=1676) has amsi.dll from 'C:\\Temp\\mff_multi\\amsi.dll' (NOT System32). File output='disabled'. Replaced DLL confirmed.
2824,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_BYPASS_MEMORY_PATCH,T1562.001,Disable or Modify Tools - AMSI Memory Patch,Defense Evasion,80,amsi.dll in 'powershell.exe' + 5 RWX region(s) = AMSI bypass,HIGH CONFIDENCE T1562.001: 'powershell.exe' (PID=2824) loads amsi.dll AND has 5 PAGE_EXECUTE_READWRITE region(s). Standard pattern for PowerShell AMSI bypass via memory patching.
4512,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_BYPASS_MEMORY_PATCH,T1562.001,Disable or Modify Tools - AMSI Memory Patch,Defense Evasion,80,amsi.dll in 'powershell.exe' + 5 RWX region(s) = AMSI bypass,HIGH CONFIDENCE T1562.001: 'powershell.exe' (PID=4512) loads amsi.dll AND has 5 PAGE_EXECUTE_READWRITE region(s). Standard pattern for PowerShell AMSI bypass via memory patching.
3092,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_BYPASS_MEMORY_PATCH,T1562.001,Disable or Modify Tools - AMSI Memory Patch,Defense Evasion,80,amsi.dll in 'powershell.exe' + 6 RWX region(s) = AMSI bypass,HIGH CONFIDENCE T1562.001: 'powershell.exe' (PID=3092) loads amsi.dll AND has 6 PAGE_EXECUTE_READWRITE region(s). Standard pattern for PowerShell AMSI bypass via memory patching.
260,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_BYPASS_MEMORY_PATCH,T1562.001,Disable or Modify Tools - AMSI Memory Patch,Defense Evasion,80,amsi.dll in 'powershell.exe' + 5 RWX region(s) = AMSI bypass,HIGH CONFIDENCE T1562.001: 'powershell.exe' (PID=260) loads amsi.dll AND has 5 PAGE_EXECUTE_READWRITE region(s). Standard pattern for PowerShell AMSI bypass via memory patching.
10128,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_BYPASS_MEMORY_PATCH,T1562.001,Disable or Modify Tools - AMSI Memory Patch,Defense Evasion,80,amsi.dll in 'powershell.exe' + 5 RWX region(s) = AMSI bypass,HIGH CONFIDENCE T1562.001: 'powershell.exe' (PID=10128) loads amsi.dll AND has 5 PAGE_EXECUTE_READWRITE region(s). Standard pattern for PowerShell AMSI bypass via memory patching.
3448,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_BYPASS_MEMORY_PATCH,T1562.001,Disable or Modify Tools - AMSI Memory Patch,Defense Evasion,80,amsi.dll in 'powershell.exe' + 5 RWX region(s) = AMSI bypass,HIGH CONFIDENCE T1562.001: 'powershell.exe' (PID=3448) loads amsi.dll AND has 5 PAGE_EXECUTE_READWRITE region(s). Standard pattern for PowerShell AMSI bypass via memory patching.
9508,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_BYPASS_MEMORY_PATCH,T1562.001,Disable or Modify Tools - AMSI Memory Patch,Defense Evasion,80,amsi.dll in 'powershell.exe' + 5 RWX region(s) = AMSI bypass,HIGH CONFIDENCE T1562.001: 'powershell.exe' (PID=9508) loads amsi.dll AND has 5 PAGE_EXECUTE_READWRITE region(s). Standard pattern for PowerShell AMSI bypass via memory patching.
1676,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_BYPASS_MEMORY_PATCH,T1562.001,Disable or Modify Tools - AMSI Memory Patch,Defense Evasion,80,amsi.dll in 'powershell.exe' + 6 RWX region(s) = AMSI bypass,HIGH CONFIDENCE T1562.001: 'powershell.exe' (PID=1676) loads amsi.dll AND has 6 PAGE_EXECUTE_READWRITE region(s). Standard pattern for PowerShell AMSI bypass via memory patching.
