TreeDepth,PID,Process,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,File output,Notes,Hexdump,Disasm,ImageFileName
0,4512,powershell.exe,0x29d0000,0x29dffff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,,"
00 00 00 00 00 00 00 00 b9 bb dd a6 de 8a 00 01 ................
ee ff ee ff 02 00 00 00 20 01 9d 02 00 00 00 00 ........ .......
20 01 9d 02 00 00 00 00 00 00 9d 02 00 00 00 00  ...............
00 00 9d 02 00 00 00 00 0f 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 b9 bb dd a6 de 8a 00 01 ee ff ee ff 02 00 00 00 20 01 9d 02 00 00 00 00 20 01 9d 02 00 00 00 00 00 00 9d 02 00 00 00 00 00 00 9d 02 00 00 00 00 0f 00 00 00 00 00 00 00,powershell.exe
0,4512,powershell.exe,0x1abd0000,0x1abdffff,VadS,PAGE_EXECUTE_READWRITE,8,1,Disabled,,"
00 00 00 00 00 00 00 00 45 a1 f8 c5 a1 13 00 01 ........E.......
ee ff ee ff 02 00 00 00 20 01 bd 1a 00 00 00 00 ........ .......
20 01 bd 1a 00 00 00 00 00 00 bd 1a 00 00 00 00  ...............
00 00 bd 1a 00 00 00 00 0f 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 45 a1 f8 c5 a1 13 00 01 ee ff ee ff 02 00 00 00 20 01 bd 1a 00 00 00 00 20 01 bd 1a 00 00 00 00 00 00 bd 1a 00 00 00 00 00 00 bd 1a 00 00 00 00 0f 00 00 00 00 00 00 00,powershell.exe
0,4512,powershell.exe,0x1abb0000,0x1abbcfff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,,"
00 00 00 00 00 00 00 00 90 78 bd 1a 00 00 00 00 .........x......
90 78 bd 1a 00 00 00 00 00 00 bd 1a 00 00 00 00 .x..............
e0 0d bb 1a 00 00 00 00 00 10 bb 1a 00 00 00 00 ................
00 d0 bb 1a 00 00 00 00 01 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 90 78 bd 1a 00 00 00 00 90 78 bd 1a 00 00 00 00 00 00 bd 1a 00 00 00 00 e0 0d bb 1a 00 00 00 00 00 10 bb 1a 00 00 00 00 00 d0 bb 1a 00 00 00 00 01 00 00 00 00 00 00 00,powershell.exe
0,4512,powershell.exe,0x7df47dae0000,0x7df47daeffff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,,"
00 00 00 00 00 00 00 00 78 0d 00 00 00 00 00 00 ........x.......
0c 00 00 00 49 c7 c2 00 00 00 00 48 b8 10 ec 90 ....I......H....
e3 ff 7f 00 00 ff e0 49 c7 c2 01 00 00 00 48 b8 .......I......H.
10 ec 90 e3 ff 7f 00 00 ff e0 49 c7 c2 02 00 00 ..........I.....",00 00 00 00 00 00 00 00 78 0d 00 00 00 00 00 00 0c 00 00 00 49 c7 c2 00 00 00 00 48 b8 10 ec 90 e3 ff 7f 00 00 ff e0 49 c7 c2 01 00 00 00 48 b8 10 ec 90 e3 ff 7f 00 00 ff e0 49 c7 c2 02 00 00,powershell.exe
0,4512,powershell.exe,0x7df47daf0000,0x7df47db8ffff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,,"
d8 ff ff ff ff ff ff ff 08 00 00 00 00 00 00 00 ................
01 00 00 00 00 00 00 00 00 02 0e 03 38 00 00 00 ............8...
68 01 04 08 0c 00 00 00 b0 0b 1c e2 ff 7f 00 00 h...............
00 10 17 e2 ff 7f 00 00 08 53 2e e2 ff 7f 00 00 .........S......",d8 ff ff ff ff ff ff ff 08 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 02 0e 03 38 00 00 00 68 01 04 08 0c 00 00 00 b0 0b 1c e2 ff 7f 00 00 00 10 17 e2 ff 7f 00 00 08 53 2e e2 ff 7f 00 00,powershell.exe
0,2824,powershell.exe,0x25f0000,0x25fffff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,,"
00 00 00 00 00 00 00 00 90 03 d6 67 74 c8 00 01 ...........gt...
ee ff ee ff 02 00 00 00 20 01 5f 02 00 00 00 00 ........ ._.....
20 01 5f 02 00 00 00 00 00 00 5f 02 00 00 00 00  ._......._.....
00 00 5f 02 00 00 00 00 0f 00 00 00 00 00 00 00 .._.............",00 00 00 00 00 00 00 00 90 03 d6 67 74 c8 00 01 ee ff ee ff 02 00 00 00 20 01 5f 02 00 00 00 00 20 01 5f 02 00 00 00 00 00 00 5f 02 00 00 00 00 00 00 5f 02 00 00 00 00 0f 00 00 00 00 00 00 00,powershell.exe
0,2824,powershell.exe,0x1aa90000,0x1aa9ffff,VadS,PAGE_EXECUTE_READWRITE,8,1,Disabled,,"
00 00 00 00 00 00 00 00 c9 aa 78 ce 87 b2 00 01 ..........x.....
ee ff ee ff 02 00 00 00 20 01 a9 1a 00 00 00 00 ........ .......
20 01 a9 1a 00 00 00 00 00 00 a9 1a 00 00 00 00  ...............
00 00 a9 1a 00 00 00 00 0f 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 c9 aa 78 ce 87 b2 00 01 ee ff ee ff 02 00 00 00 20 01 a9 1a 00 00 00 00 20 01 a9 1a 00 00 00 00 00 00 a9 1a 00 00 00 00 00 00 a9 1a 00 00 00 00 0f 00 00 00 00 00 00 00,powershell.exe
0,2824,powershell.exe,0x1b080000,0x1b08cfff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,,"
00 00 00 00 00 00 00 00 10 79 a9 1a 00 00 00 00 .........y......
10 79 a9 1a 00 00 00 00 00 00 a9 1a 00 00 00 00 .y..............
e0 0d 08 1b 00 00 00 00 00 10 08 1b 00 00 00 00 ................
00 d0 08 1b 00 00 00 00 01 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 10 79 a9 1a 00 00 00 00 10 79 a9 1a 00 00 00 00 00 00 a9 1a 00 00 00 00 e0 0d 08 1b 00 00 00 00 00 10 08 1b 00 00 00 00 00 d0 08 1b 00 00 00 00 01 00 00 00 00 00 00 00,powershell.exe
0,2824,powershell.exe,0x7df475f70000,0x7df47600ffff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,,"
d8 ff ff ff ff ff ff ff 08 00 00 00 00 00 00 00 ................
01 00 00 00 00 00 00 00 00 02 0e 03 38 00 00 00 ............8...
68 01 04 08 0c 00 00 00 b0 0b 1c e2 ff 7f 00 00 h...............
00 10 17 e2 ff 7f 00 00 08 53 2e e2 ff 7f 00 00 .........S......",d8 ff ff ff ff ff ff ff 08 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 02 0e 03 38 00 00 00 68 01 04 08 0c 00 00 00 b0 0b 1c e2 ff 7f 00 00 00 10 17 e2 ff 7f 00 00 08 53 2e e2 ff 7f 00 00,powershell.exe
0,2824,powershell.exe,0x7df475f60000,0x7df475f6ffff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,,"
00 00 00 00 00 00 00 00 78 0d 00 00 00 00 00 00 ........x.......
0c 00 00 00 49 c7 c2 00 00 00 00 48 b8 10 ec 90 ....I......H....
e3 ff 7f 00 00 ff e0 49 c7 c2 01 00 00 00 48 b8 .......I......H.
10 ec 90 e3 ff 7f 00 00 ff e0 49 c7 c2 02 00 00 ..........I.....",00 00 00 00 00 00 00 00 78 0d 00 00 00 00 00 00 0c 00 00 00 49 c7 c2 00 00 00 00 48 b8 10 ec 90 e3 ff 7f 00 00 ff e0 49 c7 c2 01 00 00 00 48 b8 10 ec 90 e3 ff 7f 00 00 ff e0 49 c7 c2 02 00 00,powershell.exe
