TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,432,csrss.exe,0x7ff621b20000,0x7000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2026-02-09 20:29:40.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbeb650000,0x1f8000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2026-02-09 20:29:40.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbe8cd0000,0x18000,CSRSRV.dll,C:\\Windows\\SYSTEM32\\CSRSRV.dll,6,2026-02-09 20:29:40.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbe8cb0000,0x16000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,6,2026-02-09 20:29:40.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbe8c90000,0x15000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,6,2026-02-09 20:29:40.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbe8da0000,0x2ff000,kernelbase.dll,C:\\Windows\\SYSTEM32\\kernelbase.dll,-1,2026-02-09 20:29:40.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbeaf90000,0xc2000,kernel32.dll,C:\\Windows\\SYSTEM32\\kernel32.dll,-1,2026-02-09 20:29:40.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbe8c60000,0x23000,winsrvext.dll,C:\\Windows\\SYSTEM32\\winsrvext.dll,6,2026-02-09 20:29:40.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbea8e0000,0x19d000,USER32.dll,C:\\Windows\\system32\\USER32.dll,6,2026-02-09 20:29:40.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbeabb0000,0x355000,combase.dll,C:\\Windows\\SYSTEM32\\combase.dll,6,2026-02-09 20:29:40.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbe94c0000,0x4e000,cfgmgr32.dll,C:\\Windows\\SYSTEM32\\cfgmgr32.dll,6,2026-02-09 20:29:40.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbe9420000,0x22000,win32u.dll,C:\\Windows\\system32\\win32u.dll,6,2026-02-09 20:29:40.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbe9670000,0x2b000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,6,2026-02-09 20:29:40.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbe9320000,0x100000,ucrtbase.dll,C:\\Windows\\SYSTEM32\\ucrtbase.dll,6,2026-02-09 20:29:40.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbe9cc0000,0x123000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbe90d0000,0x11a000,gdi32full.dll,C:\\Windows\\SYSTEM32\\gdi32full.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbe9280000,0x9d000,msvcp_win.dll,C:\\Windows\\system32\\msvcp_win.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbe8c50000,0xd000,sxssrv.DLL,C:\\Windows\\system32\\sxssrv.DLL,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbe8a80000,0xa2000,sxs.dll,C:\\Windows\\system32\\sxs.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,432,csrss.exe,0x7ffbe91f0000,0x82000,bcryptPrimitives.dll,C:\\Windows\\SYSTEM32\\bcryptPrimitives.dll,-1,2026-02-09 20:29:42.000000 UTC,Disabled
0,512,wininit.exe,0x7ff744150000,0x6f000,wininit.exe,C:\\Windows\\system32\\wininit.exe,-1,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbeb650000,0x1f8000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbeaf90000,0xc2000,KERNEL32.DLL,C:\\Windows\\SYSTEM32\\KERNEL32.DLL,-1,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe8da0000,0x2ff000,-,-,-1,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe9320000,0x100000,ucrtbase.dll,C:\\Windows\\SYSTEM32\\ucrtbase.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe9cc0000,0x123000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbeb280000,0x9f000,sechost.dll,C:\\Windows\\SYSTEM32\\sechost.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe90a0000,0x27000,bcrypt.dll,C:\\Windows\\SYSTEM32\\bcrypt.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe8c20000,0x25000,profapi.dll,C:\\Windows\\system32\\profapi.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe8c10000,0xe000,wininitext.dll,C:\\Windows\\SYSTEM32\\wininitext.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbeaa80000,0x9e000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbeb1d0000,0xaf000,ADVAPI32.dll,C:\\Windows\\system32\\ADVAPI32.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbea8e0000,0x19d000,USER32.dll,C:\\Windows\\system32\\USER32.dll,-1,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe9420000,0x22000,win32u.dll,C:\\Windows\\system32\\win32u.dll,-1,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe9670000,0x2b000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe90d0000,0x11a000,gdi32full.dll,C:\\Windows\\SYSTEM32\\gdi32full.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe9280000,0x9d000,msvcp_win.dll,C:\\Windows\\system32\\msvcp_win.dll,-1,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe8be0000,0x2e000,USERENV.dll,C:\\Windows\\system32\\USERENV.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe8ba0000,0x32000,SspiCli.dll,C:\\Windows\\system32\\SspiCli.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe7980000,0x2e000,profext.dll,C:\\Windows\\SYSTEM32\\profext.dll,6,2026-02-09 20:29:45.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbeabb0000,0x355000,combase.dll,C:\\Windows\\SYSTEM32\\combase.dll,6,2026-02-09 20:29:45.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe7f20000,0x33000,ntmarta.dll,C:\\Windows\\SYSTEM32\\ntmarta.dll,6,2026-02-09 20:29:45.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe91f0000,0x82000,bcryptprimitives.dll,C:\\Windows\\system32\\bcryptprimitives.dll,-1,2026-02-09 20:29:45.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe78e0000,0x96000,firewallapi.dll,C:\\Windows\\SYSTEM32\\firewallapi.dll,6,2026-02-09 20:29:45.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe80d0000,0xca000,DNSAPI.dll,C:\\Windows\\system32\\DNSAPI.dll,6,2026-02-09 20:29:45.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe8090000,0x3b000,IPHLPAPI.DLL,C:\\Windows\\SYSTEM32\\IPHLPAPI.DLL,6,2026-02-09 20:29:45.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbeb580000,0x8000,-,-,6,2026-02-09 20:29:45.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe78a0000,0x37000,fwbase.dll,C:\\Windows\\system32\\fwbase.dll,6,2026-02-09 20:29:45.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbeaf10000,0x6b000,WS2_32.dll,C:\\Windows\\SYSTEM32\\WS2_32.dll,6,2026-02-09 20:29:46.000000 UTC,Disabled
0,512,wininit.exe,0x7ffbe83b0000,0x6c000,mswsock.dll,C:\\Windows\\system32\\mswsock.dll,6,2026-02-09 20:29:46.000000 UTC,Disabled
0,532,csrss.exe,0x7ff621b20000,0x7000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbeb650000,0x1f8000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbe8cd0000,0x18000,CSRSRV.dll,C:\\Windows\\SYSTEM32\\CSRSRV.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbe8cb0000,0x16000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbe8c90000,0x15000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbe8da0000,0x2ff000,kernelbase.dll,C:\\Windows\\SYSTEM32\\kernelbase.dll,-1,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbeaf90000,0xc2000,kernel32.dll,C:\\Windows\\SYSTEM32\\kernel32.dll,-1,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbe8c60000,0x23000,winsrvext.dll,C:\\Windows\\SYSTEM32\\winsrvext.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbea8e0000,0x19d000,USER32.dll,C:\\Windows\\system32\\USER32.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbeabb0000,0x355000,combase.dll,C:\\Windows\\SYSTEM32\\combase.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbe94c0000,0x4e000,cfgmgr32.dll,C:\\Windows\\SYSTEM32\\cfgmgr32.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbe9670000,0x2b000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbe9420000,0x22000,win32u.dll,C:\\Windows\\system32\\win32u.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbe9320000,0x100000,ucrtbase.dll,C:\\Windows\\SYSTEM32\\ucrtbase.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbe9cc0000,0x123000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbe90d0000,0x11a000,gdi32full.dll,C:\\Windows\\SYSTEM32\\gdi32full.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbe9280000,0x9d000,msvcp_win.dll,C:\\Windows\\system32\\msvcp_win.dll,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbe8c50000,0xd000,sxssrv.DLL,C:\\Windows\\system32\\sxssrv.DLL,6,2026-02-09 20:29:41.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbe8a80000,0xa2000,sxs.dll,C:\\Windows\\system32\\sxs.dll,6,2026-02-09 20:29:45.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbe91f0000,0x82000,bcryptPrimitives.dll,C:\\Windows\\SYSTEM32\\bcryptPrimitives.dll,-1,2026-02-09 20:29:45.000000 UTC,Disabled
0,532,csrss.exe,0x7ffbe90a0000,0x27000,Bcrypt.dll,C:\\Windows\\system32\\Bcrypt.dll,-1,2026-02-09 21:36:56.000000 UTC,Disabled
0,608,winlogon.exe,0x7ff7f8280000,0xed000,winlogon.exe,C:\\Windows\\system32\\winlogon.exe,-1,2026-02-09 20:29:41.000000 UTC,Disabled
0,608,winlogon.exe,0x7ffbeb650000,0x1f8000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2026-02-09 20:29:41.000000 UTC,Disabled
