TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x9e80001299f0,TCPv4,0.0.0.0,7680,0.0.0.0,0,LISTENING,904,svchost.exe,2026-02-09 21:32:04.000000 UTC
0,0x9e80001299f0,TCPv6,::,7680,::,0,LISTENING,904,svchost.exe,2026-02-09 21:32:04.000000 UTC
0,0xb70d3bd707c0,UDPv4,0.0.0.0,0,*,0,,904,svchost.exe,2026-02-09 22:06:33.000000 UTC
0,0xb70d3bd707c0,UDPv6,::,0,*,0,,904,svchost.exe,2026-02-09 22:06:33.000000 UTC
0,0xb70d3c577e00,UDPv4,0.0.0.0,0,*,0,,904,svchost.exe,2026-02-09 22:06:33.000000 UTC
0,0xb70d3c577e00,UDPv6,::,0,*,0,,904,svchost.exe,2026-02-09 22:06:33.000000 UTC
0,0xb70d3c582310,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,668,lsass.exe,2026-02-09 20:29:46.000000 UTC
0,0xb70d3c582310,TCPv6,::,49664,::,0,LISTENING,668,lsass.exe,2026-02-09 20:29:46.000000 UTC
0,0xb70d3c582470,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1056,svchost.exe,2026-02-09 20:29:47.000000 UTC
0,0xb70d3c5825d0,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1056,svchost.exe,2026-02-09 20:29:47.000000 UTC
0,0xb70d3c5825d0,TCPv6,::,49666,::,0,LISTENING,1056,svchost.exe,2026-02-09 20:29:47.000000 UTC
0,0xb70d3c582730,TCPv4,192.168.56.102,139,0.0.0.0,0,LISTENING,4,System,2026-02-09 20:29:49.000000 UTC
0,0xb70d3c582b50,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,1292,svchost.exe,2026-02-09 21:29:37.000000 UTC
0,0xb70d3c582e10,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,892,svchost.exe,2026-02-09 20:29:46.000000 UTC
0,0xb70d3c582e10,TCPv6,::,135,::,0,LISTENING,892,svchost.exe,2026-02-09 20:29:46.000000 UTC
0,0xb70d3c5830d0,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,512,wininit.exe,2026-02-09 20:29:46.000000 UTC
0,0xb70d3c583230,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,512,wininit.exe,2026-02-09 20:29:46.000000 UTC
