TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,4,0,System,0xb70d3b666040,122,-,N/A,False,2026-02-09 20:29:27.000000 UTC,N/A,Disabled
0,92,4,Registry,0xb70d3b7e1080,4,-,N/A,False,2026-02-09 20:29:14.000000 UTC,N/A,Disabled
0,328,4,smss.exe,0xb70d3bfe1040,2,-,N/A,False,2026-02-09 20:29:30.000000 UTC,N/A,Disabled
0,432,424,csrss.exe,0xb70d3c1cf0c0,9,-,0,False,2026-02-09 20:29:40.000000 UTC,N/A,Disabled
0,512,424,wininit.exe,0xb70d40236080,1,-,0,False,2026-02-09 20:29:41.000000 UTC,N/A,Disabled
0,532,504,csrss.exe,0xb70d4023e080,12,-,1,False,2026-02-09 20:29:41.000000 UTC,N/A,Disabled
0,608,504,winlogon.exe,0xb70d40289080,4,-,1,False,2026-02-09 20:29:41.000000 UTC,N/A,Disabled
0,624,512,services.exe,0xb70d40221080,6,-,0,False,2026-02-09 20:29:41.000000 UTC,N/A,Disabled
0,668,512,lsass.exe,0xb70d402c8080,8,-,0,False,2026-02-09 20:29:42.000000 UTC,N/A,Disabled
0,768,624,svchost.exe,0xb70d4033b280,21,-,0,False,2026-02-09 20:29:45.000000 UTC,N/A,Disabled
0,792,608,fontdrvhost.ex,0xb70d4033d180,5,-,1,False,2026-02-09 20:29:45.000000 UTC,N/A,Disabled
0,800,512,fontdrvhost.ex,0xb70d402d5080,5,-,0,False,2026-02-09 20:29:45.000000 UTC,N/A,Disabled
0,892,624,svchost.exe,0xb70d403e5300,13,-,0,False,2026-02-09 20:29:45.000000 UTC,N/A,Disabled
0,944,624,svchost.exe,0xb70d403f2280,4,-,0,False,2026-02-09 20:29:46.000000 UTC,N/A,Disabled
0,1008,624,svchost.exe,0xb70d40a67280,4,-,0,False,2026-02-09 20:29:46.000000 UTC,N/A,Disabled
0,376,624,svchost.exe,0xb70d40ad42c0,2,-,0,False,2026-02-09 20:29:46.000000 UTC,N/A,Disabled
0,388,624,svchost.exe,0xb70d40ae5340,3,-,0,False,2026-02-09 20:29:47.000000 UTC,N/A,Disabled
0,508,608,dwm.exe,0xb70d40ae9080,16,-,1,False,2026-02-09 20:29:47.000000 UTC,N/A,Disabled
0,584,624,svchost.exe,0xb70d40abe340,5,-,0,False,2026-02-09 20:29:47.000000 UTC,N/A,Disabled
0,1056,624,svchost.exe,0xb70d40b29340,7,-,0,False,2026-02-09 20:29:47.000000 UTC,N/A,Disabled
0,1116,624,svchost.exe,0xb70d40b4b300,5,-,0,False,2026-02-09 20:29:47.000000 UTC,N/A,Disabled
0,1144,624,svchost.exe,0xb70d40b65340,6,-,0,False,2026-02-09 20:29:47.000000 UTC,N/A,Disabled
0,1196,624,svchost.exe,0xb70d40ba0300,2,-,0,False,2026-02-09 20:29:47.000000 UTC,N/A,Disabled
0,1292,624,svchost.exe,0xb70d40bcd280,8,-,0,False,2026-02-09 20:29:48.000000 UTC,N/A,Disabled
0,1368,624,svchost.exe,0xb70d40bd2300,5,-,0,False,2026-02-09 20:29:48.000000 UTC,N/A,Disabled
0,1400,624,VBoxService.ex,0xb70d40c11080,12,-,0,False,2026-02-09 20:29:49.000000 UTC,N/A,Disabled
0,1460,624,svchost.exe,0xb70d40c85340,1,-,0,False,2026-02-09 20:29:49.000000 UTC,N/A,Disabled
0,1540,624,svchost.exe,0xb70d40c9c280,2,-,0,False,2026-02-09 21:29:36.000000 UTC,N/A,Disabled
0,1556,624,svchost.exe,0xb70d40c9e300,4,-,0,False,2026-02-09 21:29:36.000000 UTC,N/A,Disabled
0,1588,624,svchost.exe,0xb70d40cc5280,3,-,0,False,2026-02-09 21:29:36.000000 UTC,N/A,Disabled
0,1596,624,svchost.exe,0xb70d40d362c0,6,-,0,False,2026-02-09 21:29:36.000000 UTC,N/A,Disabled
0,1740,624,svchost.exe,0xb70d40d9d300,8,-,0,False,2026-02-09 21:29:37.000000 UTC,N/A,Disabled
0,1752,4,MemCompression,0xb70d40d9c040,66,-,N/A,False,2026-02-09 21:29:37.000000 UTC,N/A,Disabled
0,1792,624,svchost.exe,0xb70d40deb280,2,-,0,False,2026-02-09 21:29:37.000000 UTC,N/A,Disabled
0,1824,624,svchost.exe,0xb70d40de8300,4,-,0,False,2026-02-09 21:29:38.000000 UTC,N/A,Disabled
0,1884,624,svchost.exe,0xb70d40dea080,2,-,0,False,2026-02-09 21:29:38.000000 UTC,N/A,Disabled
0,1956,624,svchost.exe,0xb70d40277080,9,-,0,False,2026-02-09 21:29:38.000000 UTC,N/A,Disabled
0,1272,624,svchost.exe,0xb70d40292300,7,-,0,False,2026-02-09 21:29:39.000000 UTC,N/A,Disabled
0,1848,624,svchost.exe,0xb70d40de7080,12,-,0,False,2026-02-09 21:29:39.000000 UTC,N/A,Disabled
0,1936,624,svchost.exe,0xb70d40e16300,4,-,0,False,2026-02-09 21:29:39.000000 UTC,N/A,Disabled
0,1664,624,svchost.exe,0xb70d40e19300,4,-,0,False,2026-02-09 21:29:39.000000 UTC,N/A,Disabled
0,2132,624,svchost.exe,0xb70d40f0f280,2,-,0,False,2026-02-09 21:29:40.000000 UTC,N/A,Disabled
0,2140,624,svchost.exe,0xb70d40f10080,8,-,0,False,2026-02-09 21:29:40.000000 UTC,N/A,Disabled
0,2160,624,svchost.exe,0xb70d3c65d340,6,-,0,False,2026-02-09 21:29:40.000000 UTC,N/A,Disabled
0,2300,624,spoolsv.exe,0xb70d40fb4240,7,-,0,False,2026-02-09 21:29:41.000000 UTC,N/A,Disabled
0,2340,624,svchost.exe,0xb70d40fd8300,12,-,0,False,2026-02-09 21:29:42.000000 UTC,N/A,Disabled
0,2388,624,svchost.exe,0xb70d40fa8080,5,-,0,False,2026-02-09 21:29:42.000000 UTC,N/A,Disabled
0,2668,624,svchost.exe,0xb70d411c1280,12,-,0,False,2026-02-09 21:29:44.000000 UTC,N/A,Disabled
0,2676,624,svchost.exe,0xb70d411c3300,14,-,0,False,2026-02-09 21:29:44.000000 UTC,N/A,Disabled
0,2660,624,svchost.exe,0xb70d411bf300,5,-,0,False,2026-02-09 21:29:44.000000 UTC,N/A,Disabled
0,2692,624,svchost.exe,0xb70d411c0080,10,-,0,False,2026-02-09 21:29:44.000000 UTC,N/A,Disabled
0,2732,624,MpDefenderCore,0xb70d411c90c0,9,-,0,False,2026-02-09 21:29:45.000000 UTC,N/A,Disabled
0,2756,624,svchost.exe,0xb70d411c7280,4,-,0,False,2026-02-09 21:29:45.000000 UTC,N/A,Disabled
0,2788,624,svchost.exe,0xb70d411d2300,1,-,0,False,2026-02-09 21:29:45.000000 UTC,N/A,Disabled
0,2824,624,svchost.exe,0xb70d41226300,4,-,0,False,2026-02-09 21:29:45.000000 UTC,N/A,Disabled
0,2832,624,svchost.exe,0xb70d412240c0,4,-,0,False,2026-02-09 21:29:45.000000 UTC,N/A,Disabled
0,2844,624,svchost.exe,0xb70d411d8080,3,-,0,False,2026-02-09 21:29:45.000000 UTC,N/A,Disabled
0,2852,624,MsMpEng.exe,0xb70d4122b080,24,-,0,False,2026-02-09 21:29:45.000000 UTC,N/A,Disabled
0,2960,624,svchost.exe,0xb70d41231080,5,-,0,False,2026-02-09 21:29:45.000000 UTC,N/A,Disabled
