TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0xb70d3b666040,122,-,N/A,False,2026-02-09 20:29:27.000000 UTC,N/A,-,-,-
1,328,4,smss.exe,0xb70d3bfe1040,2,-,N/A,False,2026-02-09 20:29:30.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
1,92,4,Registry,0xb70d3b7e1080,4,-,N/A,False,2026-02-09 20:29:14.000000 UTC,N/A,Registry,-,-
1,1752,4,MemCompression,0xb70d40d9c040,66,-,N/A,False,2026-02-09 21:29:37.000000 UTC,N/A,MemCompression,-,-
0,432,424,csrss.exe,0xb70d3c1cf0c0,9,-,0,False,2026-02-09 20:29:40.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,512,424,wininit.exe,0xb70d40236080,1,-,0,False,2026-02-09 20:29:41.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,624,512,services.exe,0xb70d40221080,6,-,0,False,2026-02-09 20:29:41.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,1540,624,svchost.exe,0xb70d40c9c280,2,-,0,False,2026-02-09 21:29:36.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s ProfSvc,C:\\Windows\\system32\\svchost.exe
2,1556,624,svchost.exe,0xb70d40c9e300,4,-,0,False,2026-02-09 21:29:36.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s EventSystem,C:\\Windows\\system32\\svchost.exe
2,1056,624,svchost.exe,0xb70d40b29340,7,-,0,False,2026-02-09 20:29:47.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog,C:\\Windows\\System32\\svchost.exe
2,4644,624,svchost.exe,0xb70d4376d2c0,4,-,0,False,2026-02-09 21:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s TabletInputService,C:\\Windows\\System32\\svchost.exe
3,4724,4644,ctfmon.exe,0xb70d41a112c0,8,-,1,False,2026-02-09 21:35:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\ctfmon.exe,"""ctfmon.exe""",C:\\Windows\\system32\\ctfmon.exe
2,1588,624,svchost.exe,0xb70d40cc5280,3,-,0,False,2026-02-09 21:29:36.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k netsvcs -p -s Themes,C:\\Windows\\System32\\svchost.exe
2,1596,624,svchost.exe,0xb70d40d362c0,6,-,0,False,2026-02-09 21:29:36.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain,C:\\Windows\\system32\\svchost.exe
2,2620,624,svchost.exe,0xb70d418d6300,4,-,0,False,2026-02-09 21:32:05.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -s W32Time,C:\\Windows\\system32\\svchost.exe
2,584,624,svchost.exe,0xb70d40abe340,5,-,0,False,2026-02-09 20:29:47.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc,C:\\Windows\\system32\\svchost.exe
2,3656,624,svchost.exe,0xb70d413df340,2,-,0,False,2026-02-09 21:29:53.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s NgcCtnrSvc,C:\\Windows\\system32\\svchost.exe
2,2132,624,svchost.exe,0xb70d40f0f280,2,-,0,False,2026-02-09 21:29:40.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k netsvcs -p -s ShellHWDetection,C:\\Windows\\System32\\svchost.exe
2,10324,624,svchost.exe,0xb70d419cf300,2,-,0,False,2026-02-09 21:46:39.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s lfsvc,C:\\Windows\\system32\\svchost.exe
2,1116,624,svchost.exe,0xb70d40b4b300,5,-,0,False,2026-02-09 20:29:47.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s nsi,C:\\Windows\\system32\\svchost.exe
2,2140,624,svchost.exe,0xb70d40f10080,8,-,0,False,2026-02-09 21:29:40.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k appmodel -p -s StateRepository,C:\\Windows\\system32\\svchost.exe
2,2660,624,svchost.exe,0xb70d411bf300,5,-,0,False,2026-02-09 21:29:44.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService -p -s CryptSvc,C:\\Windows\\system32\\svchost.exe
2,2668,624,svchost.exe,0xb70d411c1280,12,-,0,False,2026-02-09 21:29:44.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k utcsvc -p,C:\\Windows\\System32\\svchost.exe
3,3964,2668,AggregatorHost,0xb70d41778080,4,-,0,False,2026-02-09 21:30:01.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\AggregatorHost.exe,AggregatorHost.exe,C:\\Windows\\System32\\AggregatorHost.exe
