TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,328,smss.exe,0x7ff77b3b0000,0x2e000,smss.exe,\\SystemRoot\\System32\\smss.exe,-1,2026-02-17 15:28:47.000000 UTC,Disabled
0,328,smss.exe,0x7ffa1e530000,0x1f8000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2026-02-17 15:28:47.000000 UTC,Disabled
0,432,csrss.exe,0x7ff6c1100000,0x7000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2026-02-17 15:28:49.000000 UTC,Disabled
0,432,csrss.exe,0x7ffa1e530000,0x1f8000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2026-02-17 15:28:49.000000 UTC,Disabled
0,432,csrss.exe,0x7ffa1bba0000,0x18000,CSRSRV.dll,C:\\Windows\\SYSTEM32\\CSRSRV.dll,6,2026-02-17 15:28:49.000000 UTC,Disabled
0,432,csrss.exe,0x7ffa1bb80000,0x16000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,6,2026-02-17 15:28:49.000000 UTC,Disabled
0,432,csrss.exe,0x7ffa1bb60000,0x15000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,6,2026-02-17 15:28:49.000000 UTC,Disabled
0,432,csrss.exe,0x7ffa1bbc0000,0x2f6000,kernelbase.dll,C:\\Windows\\SYSTEM32\\kernelbase.dll,-1,2026-02-17 15:28:49.000000 UTC,Disabled
0,520,csrss.exe,0x7ff6c1100000,0x7000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1e530000,0x1f8000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1bba0000,0x18000,CSRSRV.dll,C:\\Windows\\SYSTEM32\\CSRSRV.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1bb80000,0x16000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1bb60000,0x15000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1bbc0000,0x2f6000,-,-,-1,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1e190000,0xc2000,-,-,-1,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1bb30000,0x23000,-,-,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1ce20000,0x1a1000,USER32.dll,C:\\Windows\\system32\\USER32.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1c500000,0x4e000,-,-,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1c830000,0x2b000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1de30000,0x354000,combase.dll,C:\\Windows\\SYSTEM32\\combase.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1c320000,0x22000,win32u.dll,C:\\Windows\\system32\\win32u.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1bf40000,0x100000,-,-,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1c3e0000,0x119000,-,-,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1d130000,0x120000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1c120000,0x9d000,-,-,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1bb20000,0xd000,sxssrv.DLL,C:\\Windows\\system32\\sxssrv.DLL,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1b8e0000,0xa2000,sxs.dll,C:\\Windows\\system32\\sxs.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1c350000,0x82000,bcryptPrimitives.dll,C:\\Windows\\SYSTEM32\\bcryptPrimitives.dll,-1,2026-02-17 15:28:50.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1c0f0000,0x27000,Bcrypt.dll,C:\\Windows\\system32\\Bcrypt.dll,-1,2026-02-17 18:09:43.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa11d10000,0x27f000,DWrite.dll,C:\\Windows\\system32\\DWrite.dll,6,2026-02-17 18:18:12.000000 UTC,Disabled
0,520,csrss.exe,0x7ffa1cb20000,0x9e000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,6,2026-02-17 18:18:12.000000 UTC,Disabled
0,588,winlogon.exe,0x7ff734c00000,0xec000,winlogon.exe,C:\\Windows\\system32\\winlogon.exe,-1,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1e530000,0x1f8000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1e190000,0xc2000,KERNEL32.DLL,C:\\Windows\\System32\\KERNEL32.DLL,-1,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1bbc0000,0x2f6000,KERNELBASE.dll,C:\\Windows\\System32\\KERNELBASE.dll,-1,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1cb20000,0x9e000,msvcrt.dll,C:\\Windows\\System32\\msvcrt.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1cd80000,0x9f000,sechost.dll,C:\\Windows\\System32\\sechost.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1d130000,0x120000,RPCRT4.dll,C:\\Windows\\System32\\RPCRT4.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1c0f0000,0x27000,bcrypt.dll,C:\\Windows\\System32\\bcrypt.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1de30000,0x354000,combase.dll,C:\\Windows\\System32\\combase.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1bf40000,0x100000,ucrtbase.dll,C:\\Windows\\System32\\ucrtbase.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1ca60000,0xb1000,advapi32.dll,C:\\Windows\\System32\\advapi32.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1ba20000,0x4b000,powrprof.dll,C:\\Windows\\SYSTEM32\\powrprof.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1ba00000,0x12000,UMPDC.dll,C:\\Windows\\system32\\UMPDC.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1baf0000,0x24000,profapi.dll,C:\\Windows\\system32\\profapi.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1ce20000,0x1a1000,user32.dll,C:\\Windows\\System32\\user32.dll,-1,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1c320000,0x22000,win32u.dll,C:\\Windows\\System32\\win32u.dll,-1,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1c830000,0x2b000,GDI32.dll,C:\\Windows\\System32\\GDI32.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1c3e0000,0x119000,gdi32full.dll,C:\\Windows\\System32\\gdi32full.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1c120000,0x9d000,msvcp_win.dll,C:\\Windows\\System32\\msvcp_win.dll,-1,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1cbc0000,0x2f000,IMM32.DLL,C:\\Windows\\System32\\IMM32.DLL,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1b990000,0x63000,winsta.dll,C:\\Windows\\SYSTEM32\\winsta.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1ba70000,0x32000,SspiCli.dll,C:\\Windows\\system32\\SspiCli.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1bab0000,0x2e000,USERENV.dll,C:\\Windows\\system32\\USERENV.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1a840000,0x2e000,profext.dll,C:\\Windows\\SYSTEM32\\profext.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
0,588,winlogon.exe,0x7ffa1ade0000,0x33000,ntmarta.dll,C:\\Windows\\SYSTEM32\\ntmarta.dll,6,2026-02-17 15:28:50.000000 UTC,Disabled
