TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xdb84c0a87500,UDPv4,0.0.0.0,0,*,0,,7484,M365Copilot.ex,2026-02-18 00:54:56.000000 UTC
0,0xdb84c0a87500,UDPv6,::,0,*,0,,7484,M365Copilot.ex,2026-02-18 00:54:56.000000 UTC
0,0xdb84c0aab5d0,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,660,services.exe,2026-02-17 16:28:57.000000 UTC
0,0xdb84c0f574a0,UDPv4,0.0.0.0,0,*,0,,7280,svchost.exe,2026-02-17 16:30:59.000000 UTC
0,0xdb84c0f574a0,UDPv6,::,0,*,0,,7280,svchost.exe,2026-02-17 16:30:59.000000 UTC
0,0xdb84c12c2b50,UDPv4,0.0.0.0,0,*,0,,7484,M365Copilot.ex,2026-02-18 00:53:21.000000 UTC
0,0xdb84c12c2b50,UDPv6,::,0,*,0,,7484,M365Copilot.ex,2026-02-18 00:53:21.000000 UTC
0,0xdb84c12c4450,UDPv4,0.0.0.0,0,*,0,,7648,svchost.exe,2026-02-18 00:53:17.000000 UTC
0,0xdb84c12c4450,UDPv6,::,0,*,0,,7648,svchost.exe,2026-02-18 00:53:17.000000 UTC
0,0xdb84c12c50d0,UDPv4,0.0.0.0,5355,*,0,,2000,svchost.exe,2026-02-18 00:50:47.000000 UTC
0,0xdb84c12c58a0,UDPv4,0.0.0.0,0,*,0,,992,powershell.exe,2026-02-17 16:31:08.000000 UTC
0,0xdb84c12c58a0,UDPv6,::,0,*,0,,992,powershell.exe,2026-02-17 16:31:08.000000 UTC
0,0xdb84c15715d0,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,540,wininit.exe,2026-02-17 15:28:51.000000 UTC
0,0xdb84c1571890,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,680,lsass.exe,2026-02-17 15:28:51.000000 UTC
0,0xdb84c1571890,TCPv6,::,49664,::,0,LISTENING,680,lsass.exe,2026-02-17 15:28:51.000000 UTC
0,0xdb84c1571cb0,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,1080,svchost.exe,2026-02-17 15:28:52.000000 UTC
0,0xdb84c1571e10,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,680,lsass.exe,2026-02-17 15:28:51.000000 UTC
