TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0xdb84c0a9b040,114,-,N/A,False,2026-02-17 15:28:47.000000 UTC,N/A,-,-,-
1,328,4,smss.exe,0xdb84c0da9040,2,-,N/A,False,2026-02-17 15:28:47.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
1,1676,4,MemCompression,0xdb84c2f77080,118,-,N/A,False,2026-02-17 16:28:54.000000 UTC,N/A,MemCompression,-,-
1,92,4,Registry,0xdb84c0be4040,4,-,N/A,False,2026-02-17 15:28:46.000000 UTC,N/A,Registry,-,-
0,432,420,csrss.exe,0xdb84c15f82c0,10,-,0,False,2026-02-17 15:28:49.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,520,512,csrss.exe,0xdb84c195f140,13,-,1,False,2026-02-17 15:28:50.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,540,420,wininit.exe,0xdb84c1963080,1,-,0,False,2026-02-17 15:28:50.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wininit.exe,-,-
1,680,540,lsass.exe,0xdb84c19b6080,9,-,0,False,2026-02-17 15:28:50.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\lsass.exe,C:\\Windows\\system32\\lsass.exe,C:\\Windows\\system32\\lsass.exe
1,660,540,services.exe,0xdb84c1956080,5,-,0,False,2026-02-17 15:28:50.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,1028,660,svchost.exe,0xdb84c1ae3300,1,-,0,False,2026-02-17 15:28:52.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc,C:\\Windows\\system32\\svchost.exe
2,8,660,svchost.exe,0xdb84c6271080,5,-,0,False,2026-02-17 16:28:55.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k appmodel -p -s StateRepository,C:\\Windows\\system32\\svchost.exe
2,6152,660,svchost.exe,0xdb84c6eb1080,6,-,0,False,2026-02-17 16:29:20.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s UsoSvc,C:\\Windows\\system32\\svchost.exe
2,1080,660,svchost.exe,0xdb84c1b4b240,7,-,0,False,2026-02-17 15:28:52.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s Schedule,C:\\Windows\\system32\\svchost.exe
3,4320,1080,MicrosoftEdgeU,0xdb84c6ece080,4,-,0,True,2026-02-17 16:29:04.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\EdgeUpdate\\MicrosoftEdgeUpdate.exe,"""C:\\Program Files (x86)\\Microsoft\\EdgeUpdate\\MicrosoftEdgeUpdate.exe"" /c",C:\\Program Files (x86)\\Microsoft\\EdgeUpdate\\MicrosoftEdgeUpdate.exe
