TreeDepth,PID,Process,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,File output,Notes,Hexdump,Disasm
0,2856,MsMpEng.exe,0x1bc0000,0x1cccfff,VadS,PAGE_EXECUTE_READWRITE,269,1,Disabled,N/A,"
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ ................
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ ................
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ ................
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ ................","
0x1bc0000:	add	byte ptr [rax], al
0x1bc0002:	add	byte ptr [rax], al
0x1bc0004:	add	byte ptr [rax], al
0x1bc0006:	add	byte ptr [rax], al
0x1bc0008:	add	byte ptr [rax], al
0x1bc000a:	add	byte ptr [rax], al
0x1bc000c:	add	byte ptr [rax], al
0x1bc000e:	add	byte ptr [rax], al
0x1bc0010:	add	byte ptr [rax], al
0x1bc0012:	add	byte ptr [rax], al
0x1bc0014:	add	byte ptr [rax], al
0x1bc0016:	add	byte ptr [rax], al
0x1bc0018:	add	byte ptr [rax], al
0x1bc001a:	add	byte ptr [rax], al
0x1bc001c:	add	byte ptr [rax], al
0x1bc001e:	add	byte ptr [rax], al
0x1bc0020:	add	byte ptr [rax], al
0x1bc0022:	add	byte ptr [rax], al
0x1bc0024:	add	byte ptr [rax], al
0x1bc0026:	add	byte ptr [rax], al
0x1bc0028:	add	byte ptr [rax], al
0x1bc002a:	add	byte ptr [rax], al
0x1bc002c:	add	byte ptr [rax], al
0x1bc002e:	add	byte ptr [rax], al
0x1bc0030:	add	byte ptr [rax], al
0x1bc0032:	add	byte ptr [rax], al
0x1bc0034:	add	byte ptr [rax], al
0x1bc0036:	add	byte ptr [rax], al
0x1bc0038:	add	byte ptr [rax], al
0x1bc003a:	add	byte ptr [rax], al
0x1bc003c:	add	byte ptr [rax], al
0x1bc003e:	add	byte ptr [rax], al"
0,2856,MsMpEng.exe,0x1ff0000,0x20fcfff,VadS,PAGE_EXECUTE_READWRITE,269,1,Disabled,N/A,"
56 57 53 55 41 54 41 55 41 56 41 57 48 83 ec 28 VWSUATAUAVAWH..(
4c 8d 3c 24 48 8b e9 48 8d b1 98 38 00 00 ff e2 L.<$H..H...8....
49 8d 67 28 41 5f 41 5e 41 5d 41 5c 5d 5b 5f 5e I.g(A_A^A]A\\][_^
c3 00 00 40 00 80 00 00 00 48 89 e9 48 b8 20 88 ...@.....H..H. .","
0x1ff0000:	push	rsi
0x1ff0001:	push	rdi
0x1ff0002:	push	rbx
0x1ff0003:	push	rbp
0x1ff0004:	push	r12
0x1ff0006:	push	r13
0x1ff0008:	push	r14
0x1ff000a:	push	r15
0x1ff000c:	sub	rsp, 0x28
0x1ff0010:	lea	r15, [rsp]
0x1ff0014:	mov	rbp, rcx
0x1ff0017:	lea	rsi, [rcx + 0x3898]
0x1ff001e:	jmp	rdx
0x1ff0020:	lea	rsp, [r15 + 0x28]
0x1ff0024:	pop	r15
0x1ff0026:	pop	r14
0x1ff0028:	pop	r13
0x1ff002a:	pop	r12
0x1ff002c:	pop	rbp
0x1ff002d:	pop	rbx
0x1ff002e:	pop	rdi
0x1ff002f:	pop	rsi
0x1ff0030:	ret	
0x1ff0031:	add	byte ptr [rax], al
0x1ff0033:	add	byte ptr [rax + 0x48000000], al
0x1ff003a:	mov	ecx, ebp"
0,2856,MsMpEng.exe,0x22c0000,0x23ccfff,VadS,PAGE_EXECUTE_READWRITE,269,1,Disabled,N/A,"
56 57 53 55 41 54 41 55 41 56 41 57 48 83 ec 28 VWSUATAUAVAWH..(
4c 8d 3c 24 48 8b e9 48 8d b1 98 38 00 00 ff e2 L.<$H..H...8....
49 8d 67 28 41 5f 41 5e 41 5d 41 5c 5d 5b 5f 5e I.g(A_A^A]A\\][_^
c3 00 00 40 00 80 00 00 00 48 89 e9 48 b8 20 88 ...@.....H..H. .","
0x22c0000:	push	rsi
0x22c0001:	push	rdi
0x22c0002:	push	rbx
0x22c0003:	push	rbp
0x22c0004:	push	r12
0x22c0006:	push	r13
0x22c0008:	push	r14
0x22c000a:	push	r15
0x22c000c:	sub	rsp, 0x28
0x22c0010:	lea	r15, [rsp]
0x22c0014:	mov	rbp, rcx
0x22c0017:	lea	rsi, [rcx + 0x3898]
0x22c001e:	jmp	rdx
0x22c0020:	lea	rsp, [r15 + 0x28]
0x22c0024:	pop	r15
0x22c0026:	pop	r14
0x22c0028:	pop	r13
0x22c002a:	pop	r12
0x22c002c:	pop	rbp
0x22c002d:	pop	rbx
0x22c002e:	pop	rdi
0x22c002f:	pop	rsi
0x22c0030:	ret	
0x22c0031:	add	byte ptr [rax], al
0x22c0033:	add	byte ptr [rax + 0x48000000], al
0x22c003a:	mov	ecx, ebp"
0,2856,MsMpEng.exe,0x27050000,0x2714ffff,VadS,PAGE_EXECUTE_READWRITE,256,1,Disabled,N/A,"
cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc ................
cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc ................
cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc ................
cc 08 00 42 00 00 00 00 05 48 8b 45 20 48 89 c2 ...B.....H.E H..","
0x27050000:	int3	
0x27050001:	int3	
0x27050002:	int3	
0x27050003:	int3	
0x27050004:	int3	
0x27050005:	int3	
0x27050006:	int3	
0x27050007:	int3	
0x27050008:	int3	
0x27050009:	int3	
0x2705000a:	int3	
0x2705000b:	int3	
0x2705000c:	int3	
0x2705000d:	int3	
0x2705000e:	int3	
0x2705000f:	int3	
0x27050010:	int3	
0x27050011:	int3	
0x27050012:	int3	
0x27050013:	int3	
0x27050014:	int3	
0x27050015:	int3	
0x27050016:	int3	
0x27050017:	int3	
0x27050018:	int3	
0x27050019:	int3	
0x2705001a:	int3	
0x2705001b:	int3	
0x2705001c:	int3	
0x2705001d:	int3	
0x2705001e:	int3	
0x2705001f:	int3	
0x27050020:	int3	
0x27050021:	int3	
0x27050022:	int3	
0x27050023:	int3	
0x27050024:	int3	
0x27050025:	int3	
0x27050026:	int3	
0x27050027:	int3	
0x27050028:	int3	
0x27050029:	int3	
0x2705002a:	int3	
0x2705002b:	int3	
0x2705002c:	int3	
0x2705002d:	int3	
0x2705002e:	int3	
0x2705002f:	int3	
0x27050030:	int3	
0x27050031:	or	byte ptr [rax], al
0x27050033:	add	byte ptr [rax], al
0x27050036:	add	byte ptr [rax], al
0x27050038:	add	eax, 0x20458b48
0x2705003d:	mov	rdx, rax"
0,2856,MsMpEng.exe,0x27b40000,0x27d3ffff,VadS,PAGE_EXECUTE_READWRITE,512,1,Disabled,N/A,"
cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc ................
cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc ................
cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc ................
cc 0c 00 4e 00 0c 00 01 05 48 8b 55 28 48 8b 8d ...N.....H.U(H..","
0x27b40000:	int3	
0x27b40001:	int3	
0x27b40002:	int3	
0x27b40003:	int3	
0x27b40004:	int3	
0x27b40005:	int3	
0x27b40006:	int3	
0x27b40007:	int3	
0x27b40008:	int3	
0x27b40009:	int3	
0x27b4000a:	int3	
0x27b4000b:	int3	
0x27b4000c:	int3	
0x27b4000d:	int3	
0x27b4000e:	int3	
0x27b4000f:	int3	
0x27b40010:	int3	
0x27b40011:	int3	
0x27b40012:	int3	
0x27b40013:	int3	
0x27b40014:	int3	
0x27b40015:	int3	
0x27b40016:	int3	
0x27b40017:	int3	
0x27b40018:	int3	
0x27b40019:	int3	
0x27b4001a:	int3	
0x27b4001b:	int3	
0x27b4001c:	int3	
0x27b4001d:	int3	
0x27b4001e:	int3	
0x27b4001f:	int3	
0x27b40020:	int3	
0x27b40021:	int3	
0x27b40022:	int3	
0x27b40023:	int3	
0x27b40024:	int3	
0x27b40025:	int3	
0x27b40026:	int3	
0x27b40027:	int3	
0x27b40028:	int3	
0x27b40029:	int3	
0x27b4002a:	int3	
0x27b4002b:	int3	
0x27b4002c:	int3	
0x27b4002d:	int3	
0x27b4002e:	int3	
0x27b4002f:	int3	
0x27b40030:	int3	
0x27b40031:	or	al, 0
0x27b40033:	add	byte ptr [rax + r8], r9b
0x27b40037:	add	dword ptr [rip + 0x28558b48], eax"
0,5712,SearchApp.exe,0x20530000,0x20593fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
e9 fb cf a3 ef ff ff ff ff cc cc cc cc cc cc cc ................
e9 eb b3 9d ef ff ff ff ff cc cc cc cc cc cc cc ................
e9 db 4f 97 ef ff ff ff ff cc cc cc cc cc cc cc ..O.............
e9 cb 6f 97 ef ff ff ff ff cc cc cc cc cc cc cc ..o.............","
0x20530000:	jmp	0xff6d000"
0,7888,powershell.exe,0x1b8d0000,0x1b8dffff,VadS,PAGE_EXECUTE_READWRITE,15,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 55 2e dc 2b 5d 1f 00 01 ........U..+]...
ee ff ee ff 02 00 00 00 20 01 8d 1b 00 00 00 00 ........ .......
20 01 8d 1b 00 00 00 00 00 00 8d 1b 00 00 00 00  ...............
00 00 8d 1b 00 00 00 00 0f 00 00 00 00 00 00 00 ................","
0x1b8d0000:	add	byte ptr [rax], al
0x1b8d0002:	add	byte ptr [rax], al
0x1b8d0004:	add	byte ptr [rax], al
0x1b8d0006:	add	byte ptr [rax], al
0x1b8d0008:	push	rbp
0x1b8d0009:	fsubr	qword ptr cs:[rbx]
0x1b8d000c:	pop	rbp"
0,7888,powershell.exe,0x35d0000,0x35dffff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 ac 23 39 96 87 4b 00 01 .........#9..K..
ee ff ee ff 02 00 00 00 20 01 5d 03 00 00 00 00 ........ .].....
20 01 5d 03 00 00 00 00 00 00 5d 03 00 00 00 00  .].......].....
00 00 5d 03 00 00 00 00 0f 00 00 00 00 00 00 00 ..].............","
0x35d0000:	add	byte ptr [rax], al
0x35d0002:	add	byte ptr [rax], al
0x35d0004:	add	byte ptr [rax], al
0x35d0006:	add	byte ptr [rax], al
0x35d0008:	lodsb	al, byte ptr [rsi]
0x35d0009:	and	edi, dword ptr [rcx]
0x35d000b:	xchg	esi, eax
0x35d000c:	xchg	dword ptr [rbx], ecx
0x35d000f:	add	esi, ebp"
0,7888,powershell.exe,0x1bc70000,0x1bc7cfff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 90 78 8d 1b 00 00 00 00 .........x......
90 78 8d 1b 00 00 00 00 00 00 8d 1b 00 00 00 00 .x..............
a0 0e c7 1b 00 00 00 00 00 10 c7 1b 00 00 00 00 ................
00 d0 c7 1b 00 00 00 00 03 00 00 00 00 00 00 00 ................","
0x1bc70000:	add	byte ptr [rax], al
0x1bc70002:	add	byte ptr [rax], al
0x1bc70004:	add	byte ptr [rax], al
0x1bc70006:	add	byte ptr [rax], al
0x1bc70008:	nop	
0x1bc70009:	js	0x1bc6ff98
0x1bc7000b:	sbb	eax, dword ptr [rax]
0x1bc7000d:	add	byte ptr [rax], al
0x1bc7000f:	add	byte ptr [rax + 0x1b8d78], dl
0x1bc70015:	add	byte ptr [rax], al
0x1bc70017:	add	byte ptr [rax], al
0x1bc70019:	add	byte ptr [rbp + 0x1b], cl
0x1bc7001f:	add	byte ptr [rax + 0x1bc70e], ah
0x1bc70025:	add	byte ptr [rax], al
0x1bc70027:	add	byte ptr [rax], al
0x1bc70029:	adc	bh, al
0x1bc7002b:	sbb	eax, dword ptr [rax]
0x1bc7002d:	add	byte ptr [rax], al
0x1bc7002f:	add	byte ptr [rax], al
0x1bc70031:	rol	bh, 1
0x1bc70033:	sbb	eax, dword ptr [rax]
0x1bc70035:	add	byte ptr [rax], al
0x1bc70037:	add	byte ptr [rbx], al
0x1bc70039:	add	byte ptr [rax], al
0x1bc7003b:	add	byte ptr [rax], al
0x1bc7003d:	add	byte ptr [rax], al"
0,7888,powershell.exe,0x7df411450000,0x7df4114effff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,N/A,"
d8 ff ff ff ff ff ff ff 08 00 00 00 00 00 00 00 ................
01 00 00 00 00 00 00 00 00 02 0e 03 38 00 00 00 ............8...
68 01 04 08 0c 00 00 00 b0 0b 6b 57 ff 7f 00 00 h.........kW....
00 10 66 57 ff 7f 00 00 08 53 7d 57 ff 7f 00 00 ..fW.....S}W....","
0x7df411450000:	fdivr	st(7)"
