TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,336,smss.exe,0x7ff6330b0000,0x2e000,smss.exe,\\SystemRoot\\System32\\smss.exe,-1,2026-04-08 18:51:48.000000 UTC,Disabled
0,336,smss.exe,0x7ff891710000,0x1f8000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2026-04-08 18:51:48.000000 UTC,Disabled
0,436,csrss.exe,0x7ff6f1ae0000,0x7000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2026-04-08 18:51:55.000000 UTC,Disabled
0,436,csrss.exe,0x7ff891710000,0x1f8000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2026-04-08 18:51:55.000000 UTC,Disabled
0,436,csrss.exe,0x7ff88ed80000,0x18000,CSRSRV.dll,C:\\Windows\\SYSTEM32\\CSRSRV.dll,6,2026-04-08 18:51:55.000000 UTC,Disabled
0,436,csrss.exe,0x7ff88ed60000,0x16000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,6,2026-04-08 18:51:55.000000 UTC,Disabled
0,436,csrss.exe,0x7ff88ed40000,0x15000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,6,2026-04-08 18:51:55.000000 UTC,Disabled
0,436,csrss.exe,0x7ff88f130000,0x2f6000,kernelbase.dll,C:\\Windows\\SYSTEM32\\kernelbase.dll,-1,2026-04-08 18:51:55.000000 UTC,Disabled
0,436,csrss.exe,0x7ff88f9c0000,0xc2000,kernel32.dll,C:\\Windows\\SYSTEM32\\kernel32.dll,-1,2026-04-08 18:51:55.000000 UTC,Disabled
0,436,csrss.exe,0x7ff88ed10000,0x23000,winsrvext.dll,C:\\Windows\\SYSTEM32\\winsrvext.dll,6,2026-04-08 18:51:55.000000 UTC,Disabled
0,436,csrss.exe,0x7ff88fe90000,0x1a1000,USER32.dll,C:\\Windows\\system32\\USER32.dll,6,2026-04-08 18:51:55.000000 UTC,Disabled
