TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xba8ee7074730,TCPv4,0.0.0.0,7680,0.0.0.0,0,LISTENING,5792,svchost.exe,2026-04-08 18:54:11.000000 UTC
0,0xba8ee7074730,TCPv6,::,7680,::,0,LISTENING,5792,svchost.exe,2026-04-08 18:54:11.000000 UTC
0,0xba8ee7f531b0,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,904,svchost.exe,2026-04-08 18:51:57.000000 UTC
0,0xba8ee7f531b0,TCPv6,::,135,::,0,LISTENING,904,svchost.exe,2026-04-08 18:51:57.000000 UTC
0,0xba8ee7f53310,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,536,wininit.exe,2026-04-08 18:51:57.000000 UTC
0,0xba8ee7f53470,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,536,wininit.exe,2026-04-08 18:51:57.000000 UTC
0,0xba8ee7f53470,TCPv6,::,49665,::,0,LISTENING,536,wininit.exe,2026-04-08 18:51:57.000000 UTC
0,0xba8ee7f535d0,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,1100,svchost.exe,2026-04-08 18:51:59.000000 UTC
0,0xba8ee7f53730,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,668,lsass.exe,2026-04-08 18:51:57.000000 UTC
0,0xba8ee7f53cb0,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,1100,svchost.exe,2026-04-08 18:51:59.000000 UTC
0,0xba8ee7f53cb0,TCPv6,::,49667,::,0,LISTENING,1100,svchost.exe,2026-04-08 18:51:59.000000 UTC
0,0xba8ee7f540d0,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1112,svchost.exe,2026-04-08 18:51:58.000000 UTC
0,0xba8ee7f54390,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,904,svchost.exe,2026-04-08 18:51:57.000000 UTC
0,0xba8ee7f544f0,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1112,svchost.exe,2026-04-08 18:51:58.000000 UTC
