TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0xba8ee7067080,113,-,N/A,False,2026-04-08 18:51:48.000000 UTC,N/A,-,-,-
1,336,4,smss.exe,0xba8ee78da040,2,-,N/A,False,2026-04-08 18:51:48.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
1,92,4,Registry,0xba8ee71e1080,4,-,N/A,False,2026-04-08 18:51:42.000000 UTC,N/A,Registry,-,-
1,1804,4,MemCompression,0xba8ee75a1040,58,-,N/A,False,2026-04-08 18:51:59.000000 UTC,N/A,MemCompression,-,-
0,436,420,csrss.exe,0xba8ee81a8080,10,-,0,False,2026-04-08 18:51:55.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,524,516,csrss.exe,0xba8ee81ba140,12,-,1,False,2026-04-08 18:51:56.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,536,420,wininit.exe,0xba8ee81c0080,1,-,0,False,2026-04-08 18:51:56.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,656,536,services.exe,0xba8ee7f95080,5,-,0,False,2026-04-08 18:51:56.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,8,656,svchost.exe,0xba8ee8d50080,3,-,0,False,2026-04-08 18:51:58.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts,C:\\Windows\\System32\\svchost.exe
2,520,656,svchost.exe,0xba8ee8d5c080,1,-,0,False,2026-04-08 18:51:58.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService,C:\\Windows\\System32\\svchost.exe
