TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xa78863074050,TCPv4,10.0.2.15,139,0.0.0.0,0,LISTENING,4,System,2026-04-18 17:22:06.000000 UTC
0,0xa78863074890,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2348,spoolsv.exe,2026-04-18 17:16:23.000000 UTC
0,0xa788630749f0,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2348,spoolsv.exe,2026-04-18 17:16:23.000000 UTC
0,0xa788630749f0,TCPv6,::,49668,::,0,LISTENING,2348,spoolsv.exe,2026-04-18 17:16:23.000000 UTC
0,0xa78863074e10,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,2026-04-18 17:16:24.000000 UTC
0,0xa78863074e10,TCPv6,::,445,::,0,LISTENING,4,System,2026-04-18 17:16:24.000000 UTC
0,0xa78863af7820,UDPv4,0.0.0.0,0,*,0,,2332,MicrosoftEdgeU,2026-04-18 17:41:28.000000 UTC
0,0xa78863af7820,UDPv6,::,0,*,0,,2332,MicrosoftEdgeU,2026-04-18 17:41:28.000000 UTC
0,0xa78863b2eae0,UDPv4,0.0.0.0,0,*,0,,1404,VBoxService.ex,2026-04-18 17:42:07.000000 UTC
0,0xa788641ba050,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,888,svchost.exe,2026-04-18 17:16:21.000000 UTC
0,0xa788641ba310,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1168,svchost.exe,2026-04-18 17:16:22.000000 UTC
0,0xa788641ba310,TCPv6,::,49666,::,0,LISTENING,1168,svchost.exe,2026-04-18 17:16:22.000000 UTC
0,0xa788641ba470,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,1104,svchost.exe,2026-04-18 17:16:22.000000 UTC
0,0xa788641ba9f0,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,1104,svchost.exe,2026-04-18 17:16:22.000000 UTC
0,0xa788641ba9f0,TCPv6,::,49667,::,0,LISTENING,1104,svchost.exe,2026-04-18 17:16:22.000000 UTC
0,0xa788641bacb0,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,888,svchost.exe,2026-04-18 17:16:21.000000 UTC
0,0xa788641bacb0,TCPv6,::,135,::,0,LISTENING,888,svchost.exe,2026-04-18 17:16:21.000000 UTC
0,0xa788641bb390,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,660,lsass.exe,2026-04-18 17:16:21.000000 UTC
0,0xa788641bb650,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1168,svchost.exe,2026-04-18 17:16:22.000000 UTC
0,0xa788641bb7b0,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,520,wininit.exe,2026-04-18 17:16:21.000000 UTC
0,0xa788641bba70,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,520,wininit.exe,2026-04-18 17:16:21.000000 UTC
