TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0xa78863067080,117,-,N/A,False,2026-04-18 17:16:13.000000 UTC,N/A,-,-,-
1,1680,4,MemCompression,0xa7886897d040,50,-,N/A,False,2026-04-18 17:16:22.000000 UTC,N/A,MemCompression,-,-
1,92,4,Registry,0xa788631e1080,4,-,N/A,False,2026-04-18 17:16:02.000000 UTC,N/A,Registry,-,-
1,324,4,smss.exe,0xa78863b1a040,2,-,N/A,False,2026-04-18 17:16:13.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
0,428,416,csrss.exe,0xa7886443c140,10,-,0,False,2026-04-18 17:16:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,500,492,csrss.exe,0xa78864d8b140,11,-,1,False,2026-04-18 17:16:20.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,520,416,wininit.exe,0xa78864da2080,1,-,0,False,2026-04-18 17:16:20.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,640,520,services.exe,0xa78864c181c0,6,-,0,False,2026-04-18 17:16:20.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,5632,640,svchost.exe,0xa78869954080,1,-,0,False,2026-04-18 17:16:45.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s Appinfo,C:\\Windows\\system32\\svchost.exe
2,1544,640,svchost.exe,0xa7886890c080,6,-,0,False,2026-04-18 17:16:22.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s EventSystem,C:\\Windows\\system32\\svchost.exe
2,2056,640,svchost.exe,0xa78863066080,3,-,0,False,2026-04-18 17:16:23.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p,C:\\Windows\\System32\\svchost.exe
2,5644,640,svchost.exe,0xa7886951f080,2,-,0,False,2026-04-18 17:20:25.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s BthAvctpSvc,C:\\Windows\\system32\\svchost.exe
2,2064,640,svchost.exe,0xa78863912080,4,-,0,False,2026-04-18 17:16:23.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p,C:\\Windows\\system32\\svchost.exe
